Ticker,Description,Price,Change %,Change,Technical Rating,Volume,Volume*Price,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector,Industry,1-Month High,1-Month Low,1-Year Beta,3-Month High,3-Month Low,3-Month Performance,5Y Performance,6-Month High,6-Month Low,6-Month Performance,52 Week High,52 Week Low,All Time High,All Time Low,Average Volume (10 day),Average Volume (30 day),Average Volume (60 day),Average Volume (90 day),Cash and short term investments (FY),Cash and short term investments (MRQ),Cash & Equivalents (FY),Cash & Equivalents (MRQ),"Change 1M, %","Change 1W, %",Country,Debt to Equity Ratio (MRQ),Current Ratio (MRQ),Dividends per share (Annual YoY Growth),Dividends per Share (FY),Dividends per Share (MRQ),Dividend Yield Forward,EBITDA (Annual YoY Growth),EBITDA (Quarterly QoQ Growth),EBITDA (Quarterly YoY Growth),EBITDA (TTM),EBITDA (TTM YoY Growth),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ),EPS Diluted (Annual YoY Growth),EPS Diluted (FY),EPS Diluted (MRQ),EPS Diluted (Quarterly QoQ Growth),EPS Diluted (Quarterly YoY Growth),EPS Diluted (TTM),EPS Diluted (TTM YoY Growth),EPS Forecast (MRQ),Exponential Moving Average (5),Exponential Moving Average (20),Exponential Moving Average (30),Exponential Moving Average (100),Free Cash Flow (Annual YoY Growth),Free Cash Flow Margin (FY),Free Cash Flow Margin (TTM),Free Cash Flow (Quarterly QoQ Growth),Free Cash Flow (Quarterly YoY Growth),Free Cash Flow (TTM YoY Growth),Gross Margin (FY),Gross Margin (TTM),Gross Profit (Annual YoY Growth),Gross Profit (FY),Gross Profit (MRQ),Gross Profit (Quarterly QoQ Growth),Gross Profit (Quarterly YoY Growth),Gross Profit (TTM YoY Growth),Money Flow (14),Net Debt (MRQ),Net Income (Annual YoY Growth),Net Income (FY),Net Income (Quarterly QoQ Growth),Net Income (Quarterly YoY Growth),Net Income (TTM YoY Growth),Net Margin (FY),Net Margin (TTM),Operating Margin (FY),Operating Margin (TTM),Price to Book (FY),Price to Book (MRQ),Price to Free Cash Flow (TTM),Price to Revenue Ratio (TTM),Price to Sales (FY),Quick Ratio (MRQ),Recent Earnings Date,Relative Strength Index (7),Relative Strength Index (14),Research & development Ratio (FY),Research & development Ratio (TTM),Return on Assets (TTM),Return on Equity (TTM),Return on Invested Capital (TTM),Revenue (Annual YoY Growth),Revenue per Employee (FY),Revenue (Quarterly QoQ Growth),Revenue (Quarterly YoY Growth),Revenue (TTM YoY Growth),Shares Float,Simple Moving Average (5),Simple Moving Average (10),Simple Moving Average (30),Simple Moving Average (100),Total Assets (Annual YoY Growth),Total Assets (MRQ),Total Assets (Quarterly QoQ Growth),Total Assets (Quarterly YoY Growth),Total Debt (Annual YoY Growth),Total Current Assets (MRQ),Total Debt (MRQ),Total Debt (Quarterly QoQ Growth),Total Debt (Quarterly YoY Growth),Total Liabilities (FY),Total Liabilities (MRQ),Total Revenue (FY),Total Shares Outstanding,Upcoming Earnings Date,Volatility,Volatility Month,Volatility Week,Volume Weighted Average Price,Volume Weighted Moving Average (20),YTD Performance,Weekly Performance,Yearly Performance,Simple Moving Average (20),Simple Moving Average (50),Simple Moving Average (200),Pretax Margin (TTM),Dividends Paid (FY),Exponential Moving Average (50),Exponential Moving Average (10),Basic EPS (FY),Monthly Performance,Change from Open %
SMCI,"Super Micro Computer, Inc.",295.38,0.45230403,1.33,Buy,3756800,1109683584,15504050745,27.83531385,11.1336,4607,Electronic Technology,Computer Communications,306.85,213.08,1.385116,306.85,93.19,172.89356984,1138.49056604,306.85,69.02,271.03378972,306.85,42.4,306.85,3.63,2599599.6,2872852.6,2678128.55,2298165.46666667,267648000.00000003,362801000,267648000.00000003,362601000,18.50752257,13.60332295,United States,0.11706468,2.47963071,,0,0,,142.97189283,-51.83062221,7.66189026,733954000,203.33064699,20.91198324,5836010000,154.3980485,5.3187,1.63,-51.34807827,6.67318846,10.6117,208.71298074,2.554286,282.43793274,253.96137262,240.42496763,176.01049357,-855.80943801,-9.36423652,9.241459,25.83034616,,,15.39618471,18.23311882,49.66213815,800001000,226359000,-32.91516262,7.39366623,82.12067436,95.33137291,-155783000,154.91708756,285163000,-51.27010166,11.52886764,220.02256094,5.48802092,8.9328227,6.48884865,10.64179161,10.83887331,8.76649133,27.33988906,2.52660464,3.04782467,1.06948132,2023-05-02,87.92336509,78.29534701,5.2399502,4.4606691,18.75068748,38.60762947,35.05042836,46.06361011,1127870.4145865,-28.8321008,-5.32604446,42.00032227,45616600.603,281.39,267.094,245.374,157.0203,42.96808441,3192604000,3.82647868,3.95376105,421.25895625,2708699000,207018000,8.28264019,-63.88223492,1789508000,1424031000,5196099000,52488500,2023-08-16,6.3826099,6.20278571,6.61777473,296.89,247.74660972,255.53683197,15.83529412,627.35779365,247.25,211.7612,117.08065,10.57644407,0,216.42101062,269.87696129,5.5395,21.47057614,-0.87919463
APPF,"AppFolio, Inc.",188.49,1.19181833,2.22,Strong Buy,79343,14955362.07,7248112903,,-2.5266,1785,Technology Services,Information Technology Services,189.4,162.32,1.2694968,189.4,123.36,47.41905209,200.86193136,189.4,102.8463,58.39495798,189.4,93.02,189.4,11.07,80124.8,120231.03333333,114232.55,111913.81111111,160066000,168947000,70769000,103925000,9.49808296,9.76589797,United States,0.20114395,2.65421474,,0,0,,-262.69963006,-64.47261937,-240.80491895,-48988000,-439.32257394,,4291390000.000001,-6855.90277778,-1.9457,-0.99,-77.14592275,-141.55084126,-2.5266,-538.19146249,-0.2625,182.76609214,173.14895128,168.48380117,147.40127479,-17.95157571,4.52421469,5.24023896,-75.23961661,,-3.43841642,52.3303446,52.84103229,33.78300042,246938000,72221000,10.13663952,34.90678821,32.90486888,83.1732637,-120558000,-6726.3618677,-68119000,-78.22335025,-145.74788269,-547.41592663,-14.43556983,-17.69331612,-15.33642873,-16.75615244,25.0673263,27.78351002,253.61214297,13.28988231,13.98447263,2.65421474,2023-04-27,87.70548927,78.44799424,23.54778621,24.75894543,-23.07981742,-33.6066441,-28.2555587,31.30840081,264360.22408964,9.70675007,29.25467254,30.31588225,18414014.1858,181.722,176.875,169.32733333,142.166,-6.56835377,370700000,-2.75879617,-7.33287671,-6.96616731,211878000,48389000,-9.71190805,-15.07274865,115671000,130131000,471883000,35485600,2023-07-27,2.40605569,2.72855878,2.74052184,187.61333333,172.60813852,77.01915853,10.54483608,107.08635465,173.175,158.0438,127.67935,-15.37616847,0,160.57194937,178.50598294,-1.9457,9.44086396,1.60638241
AMKR,"Amkor Technology, Inc.",29.2,-1.21786198,-0.36,Buy,901577,26326048.4,7172708348.132611,11.22731467,2.6164,31300,Electronic Technology,Semiconductors,30.245,25.55,1.8074309,30.245,20.4226,20.83591972,238.74709977,31.38,20.4226,-2.2103148,31.38,16.13,65.3125,1.13,810022.2,1170614.53333333,992646.7,945157.86666667,1241036000,1251624000,959072000,909802000,-1.8487395,4.47227191,United States,0.37489534,2.0813043,32.35294118,0.225,0.075,1.0273973,13.52985229,-40.99396763,-37.0561139,1377153000,-2.47551536,5.39227885,6594060000,18.85747039,3.1105,0.18,-72.44744745,-73.55145575,2.6008,-7.83841247,0.207921,28.8760678,27.94551535,27.32056723,25.68473093,-41.92046688,2.66355124,3.70908091,-64.54127139,866.12662014,-3.15730295,18.75443924,17.21253209,8.52128915,1329987000,194421000,-41.83783363,-40.23883441,-6.71194616,74.62869744,134168000,19.10248136,765823000,-72.3976117,-73.42657752,-7.68726337,10.79903858,9.19441116,12.65141714,10.85052513,1.95070593,1.9396619,27.92310884,1.0356907,1.01376293,1.69122136,2023-05-01,62.33718872,62.08266772,2.1071312,2.26968144,10.00206284,18.85908194,14.09329779,15.52956839,226568.21086262,-22.8028916,-7.8454249,8.69579396,93378461.022,28.658,28.648,27.35433333,25.0641,12.97004217,6581791000,-3.51765681,5.71821683,11.33328712,3033603000,1385792000,-9.17639595,-3.49873088,3122056000,2854628000,7091585000,245641000,2023-07-31,2.42550243,3.37065662,2.67629056,29.20666667,28.08416058,18.69918699,5.95065312,76.54171705,27.954,25.434,24.936425,10.22154059,-55116000,26.48882563,28.57940437,3.13,8.75232775,-1.01694915
CVNA,Carvana Co.,37.7,0.05307856,0.02,Buy,29236983,1102234259.1000001,7128406183,,-14.139,16600,Retail Trade,Specialty Stores,44.64,20.6,5.717321,44.64,6.7,298.09926082,-14.68658067,44.64,6.042,408.08625337,58.05,3.55,376.83,3.55,32105039.8,37419815.03333333,28252046.43333334,22847293.16666667,949000000,1006000000,628000000,694000000,45.44753086,28.01358234,United States,,1.61964912,,0,0,,-123000,89.3557423,90.30612245,-874000000,-147.59206799,,8401850000,-865.44807704,-15.7397,-1.51,80.1676675,47.69907825,-14.139,-250.73053357,-1.219166,35.97541429,28.82084059,25.89274659,17.68436929,45.13930053,-13.60629227,-7.95248958,86.49921507,90.71274298,72.57189365,7.35812996,7.80303626,-45.18072289,1001000000,253000000,116.23931624,-3.4351145,-44.01805869,69.58625677,8026000000,-1075.55555556,-1587000000,80.14888337,38.46153846,-314.20612813,-11.66568656,-11.69668843,-10.95266098,-9.37622906,,,,0.31437227,0.27941897,1.09859649,2023-05-04,76.91794908,72.4101157,,,-18.32296223,,-29.0827303,6.16513189,819518.07228916,-8.14240395,-25.47898198,-9.61893929,84352785.894,36.822,31.545,24.96766667,13.9487,23.9914469,8646000000,-0.59783858,13.98813448,53.30001723,4616000000,9032000000,1.52877698,33.74796387,9751000000,9968000000,13604000000,106182000,2023-08-03,16.05122222,15.42645685,19.73846937,38.1835,30.10791502,683.78378378,51.71026157,83.45498783,28.0385,19.4386,12.2298,-21.04145363,0,21.89362304,32.91651499,-15.7397,63.34488735,2.195717
SPSC,"SPS Commerce, Inc.",189.66,0.37044877,0.7,Buy,195900,37154394,6928802901.671571,121.31252399,1.5974,2215,Technology Services,Packaged Software,192.67,178.8451,1.2795434,192.67,140,24.13928525,388.94044857,192.67,131.135,48.33411544,192.67,102.78,192.67,4.225,190004.2,220893.8,181944.5,172707.76666667,214305000,233450000,162893000,182304000,-1.2496095,4.05442475,United States,0.02847727,2.73499687,,0,0,,24.21530269,-7.61252016,10.34407284,101734000,21.47053205,65.71937573,5441370000,23.65324051,1.492,0.67,-4.41347271,20.78074552,1.5634,23.02486623,0.629375,187.9879884,183.89839861,180.23688112,162.89304357,-9.69915924,18.12786249,20.84784222,-6.63780664,6683.06451613,35.78453039,63.44153036,63.14515958,17.48455675,286042000,79053000,3.14175745,17.40428313,17.53136027,57.64953314,-217335000,23.62714981,55134000,-3.93339617,21.31238594,23.0212766,12.2282229,12.26169017,15.78752426,15.14197858,12.76871631,12.24408374,71.68101579,14.94394507,15.54423284,2.73499687,2023-04-26,63.6469743,64.52509629,10.14649293,10.0964903,8.82589764,10.93614498,10.66058965,17.02649529,203555.30474041,3.15527217,19.65434962,17.77708398,36257452.28640001,186.996,187.444,180.55066667,159.64085,9.26660236,696927000,3.5685095,13.63409576,-15.81766826,292538000,16115000,-6.77426819,-18.09402795,135841000,131037000,450875000,36532800,2023-07-27,1.21633824,2.21130141,2.11222282,189.49666667,185.25108359,45.45593987,1.00117158,84.4582766,185.7735,171.0258,145.541625,15.35298484,0,173.80524467,186.94471096,1.5265,6.72443869,0.37044877
APG,APi Group Corporation,28.22,-0.42342978,-0.12,Buy,567061,16002461.42,6750588039.999999,121.32416165,0.2653,26000,Industrial Services,Engineering & Construction,28.52,25.15,1.4927754,28.52,21.151,32.73753528,210.10989011,28.52,19.255,37.99511002,28.52,13.09,28.52,4.3,723879.3,1097075.3,1001866.15,1112889.6,607000000,363000000,607000000,363000000,3.52164343,6.8534646,United States,0.95239703,1.5261459,,0,0,,46.74556213,5,113.04347826,574000000,59.88857939,17.43133805,9261030000,,0.109,0.25,36.16504854,,0.2326,,0.397869,27.86385519,26.66078376,26.03601437,23.58511275,64.65517241,2.91247332,4.83221477,-113.01775148,85.80645161,,23.23879231,23.62416107,86.53610771,1524000000,377000000,-8.49514563,17.08074534,60.32388664,79.21879685,2458000000,55.31914894,73000000,18.18181818,,120.83333333,1.11314425,1.58090977,2.92772187,4.05667412,3.14976098,3.11805289,23.27037514,1.1244745,1.14498303,1.42091672,2023-05-04,75.88921006,73.57117182,,,1.33266281,3.51167799,1.79950768,66.44670051,252230.76923077,-5.22607164,9.72127804,45.5078125,151497984.014,27.856,27.32,25.881,23.3159,56.83271952,7766000000,-4.0168088,-4.61802997,61.66577683,2364000000,2821000000,-6.83619551,-8.0208673,5167000000,4804000000,6558000000,173294000,2023-08-03,1.52030048,1.94451725,2.30206845,28.185,26.26131889,48.0587618,7.25959711,89.14209115,26.622,24.5814,20.8304,2.29679344,0,25.09586322,27.40343438,0.1244,10.40688576,-0.38828097
GTLS,"Chart Industries, Inc.",160.72,-2.29787234,-3.78,Buy,945292,151927330.24,6744871150.999999,,-0.1257,5178,Producer Manufacturing,Industrial Machinery,165.02,138.165,0.9795486,165.02,106.66,26.20337652,148.21621622,165.02,101.4401,20.3264206,242.585,101.4401,242.585,5.17,469845.5,655786.83333333,616467.65,714795.2,2605300000,169400000,2605300000,169400000,0.58201389,3.40346137,United States,1.64425057,1.24858594,,0,0,,31.54864709,27.6481149,74.69287469,238800000,34.45945946,46.0760936,9517380000,-62.38870339,0.5407,1.41,53.46880315,-307.83686525,-0.3398,-132.05660377,1.036918,161.00401162,153.43131505,148.42531196,137.02478478,,0.40932771,-1.23037524,-1511.11111111,-82.47126437,79.0719697,22.63706276,22.99298519,26.78013199,365000000,129699999.99999999,20.65116279,75.74525745,39.62136579,70.01805303,4221899999.999999,-59.39086294,24000000,62.87128713,-247.05882353,-102.74599542,5.06077896,3.16223138,9.09203672,8.02249193,2.51110365,2.52541759,,3.75269836,4.16651947,0.90124668,2023-04-28,58.82948093,62.22294527,0.83726123,,0.92097903,2.64715477,1.25775022,22.36472642,311394.36075705,21.86225646,51.90624117,29.84891202,41736371.2324,162.02,158.864,146.751,130.3741,93.89907353,9248800000,56.70885647,199.71159143,162.21292001,2163300000,4391300000,89.46800708,388.57365376,3211500000,6535800000,1612400000,41966600,2023-07-28,3.42191025,4.00746475,3.49644883,161.76666667,154.18836218,39.92686749,6.86880777,3.224149,155.2335,134.8868,140.93135,3.69669302,0,141.81101581,158.84794555,0.6234,10.16519295,-2.60574476
CHX,ChampionX Corporation,34.04,0.05878895,0.02,Buy,2455170,83573986.8,6739028265.066431,38.3117614,0.91,7300,Process Industries,Chemicals: Specialty,34.41,27.43,1.5238528,34.41,24.98,18.7718074,-16.24015748,34.41,23.66,6.97674419,34.41,17.83,46.11,2.89,1926956,1629808.2,1447688.85,1517864.61111111,250187000,247996000,250187000,247996000,9.66494845,4.64186904,United States,0.40672005,1.74611864,,0.3,0.085,0.9988249,43.89223631,-1.01278178,46.16692577,671717000,44.1969547,10.65235179,5912490000,37.47012318,0.7477,0.36,-5.48192771,78.59988617,0.8885,28.56316018,0.440603,33.60086188,31.22795222,30.35393143,28.71434127,27.40333532,8.15964905,11.5762145,-60.57879392,,327.06882484,24.80893065,26.35066166,25.30290122,944215000,283929000,8.55131862,39.49406019,29.61146995,77.64876753,438835000,36.77878887,154969000,-6.37369763,73.10228325,26.04885287,4.07175821,4.67549735,9.79569348,11.07996096,3.98745194,3.99117346,15.30931081,1.77223866,1.85370277,1.04245268,2023-04-24,84.84388823,77.63567603,1.18498729,,5.27025879,10.44540293,7.42497993,23.77106917,521362.73972603,-3.8046163,9.51394984,19.41833417,195945162.448,33.83,32.607,29.65233333,28.2657,-4.16493503,3327336000,-1.77556611,-6.84214151,-12.87273659,1468498000,686831000,-6.47904316,-16.79525992,1710268000,1657167000,3805948000,197974000,2023-07-24,3.1985516,3.09547657,2.5949662,33.79333333,30.79923029,18.68898187,11.49688831,98.71570344,30.6095,28.4612,28.3473,6.27651681,-45594000,29.45153429,32.64892009,0.7682,19.27119832,0.26509573
NE,Noble Corporation plc A,48.59,-1.50010136,-0.74,Buy,1538642,74762614.78,6735996369.999999,19.32315279,2.8336,5800,Industrial Services,Contract Drilling,49.3569,36.2,1.323033,49.3569,34.85,20.03458498,98.32653061,49.3569,34.85,23.890872,49.3569,25.19,49.3569,20.34,2027520.9,1707890.5,1423059.78333333,1469130.91111111,485706000,189386000,485706000,189386000,17.62285161,5.19592985,United States,0.14055369,1.88384736,,0,0,2.469644,62.77281103,-3.40457394,605.5571869,571649000,172.6955717,12.36294364,6093610000,,1.7309,0.19,-19.22741161,,2.5146,,0.387139,47.84547953,43.5671931,42.31082614,39.81669343,-14.19423864,7.54438069,4.39495366,-218.58617277,-27.26739364,-23.61796525,21.60382276,24.96031529,,305445000,152317000,-4.26576327,2907.83965245,,80.23124818,331268000,,168948000,-19.93079533,,,11.94952495,17.29459202,15.79152483,19.7394125,1.81424912,1.81834035,88.99510563,3.91129365,3.35448187,1.88384736,2023-05-03,80.55313319,74.07220851,,,8.82843466,12.13449311,10.64812921,46.62325568,243766.72413793,-2.01383892,190.1840841,112.65378866,198404568.128,48.136,45.774,41.204,39.6296,22.77066945,5072392000,-3.10365274,149.44844778,10324.74316307,872178000,520654000,-27.73251311,141.04351852,1627779000,1368085000,1413847000,251084000,2023-08-02,2.01922282,3.38279449,2.55132925,48.77563333,41.94486864,30.44295302,11.88118812,98.32653061,42.0505,39.8404,38.2037,17.95369723,0,41.07167305,45.95746488,1.9863,28.10440285,-1.44016227
RMBS,"Rambus, Inc.",61.82,-4.73108337,-3.07,Neutral,1796014,111029585.48,6728808759.703807,125.52284264,0.5041,765,Electronic Technology,Semiconductors,66.22,57.07,0.98299843,68.54,43.58,22.22222222,383.34636435,68.54,39.11,59.53548387,68.54,21.89,127,3.08,1239685.8,1518142.66666667,1535038.98333333,1409432.35555556,313226000,292137000,125334000,99876000,-3.66214742,2.52072968,United States,0.04255319,5.12366128,,0,0,,71.34023119,-35.3876443,6.44780814,128491000.00000001,47.90160689,52.9472138,5437980000,-181.89223058,-0.1307,0.23746,-79.49965254,,0.4925,,0.389696,62.29762114,61.55970402,60.81321253,53.82417191,9.79896611,48.33715559,44.82635968,-31.76683142,-22.1932795,1.65527568,69.04745676,67.65657448,36.60657578,314023000,72830000,-9.14194466,5.24262305,25.81582981,65.34974918,-259723000,-178.05170721,-14310000,-79.42817732,,,-3.14648642,11.7547204,17.60207391,16.90589025,8.53650453,8.83359911,32.64949711,14.63558101,14.88052595,4.85144634,2023-05-01,49.71774726,52.05226086,34.91016792,34.25991204,5.45479255,7.09892562,6.85185679,38.52801062,594500.65359477,-7.03212467,14.85310449,31.52432124,107961178.6,62.162,62.24,62.01133333,52.6249,-17.85200293,962630000,-4.93425796,-9.26075174,-77.62277516,492763000,32414000,-27.12843686,-69.89029567,233297000,200901000,454793000,108845000,2023-07-31,7.69230769,3.64359329,4.79088809,63.17666667,61.22127029,70.86788281,1.2280989,190.5075188,61.1405,59.0998,44.3416,13.06929639,0,58.7803164,61.9941405,-0.1307,-1.34056815,-5.35099135
