Accrual Date,Asset Class,Currency,Exchange,FX Rate,Location,Market Currency,Market Value,Name,Notional Value,Price,Sector,Shares,Ticker,Weight (%),as_of_date,etf_name,etf_ticker
-,Equity,USD,NASDAQ,1.0,United States,USD,"25,142,928,884.61",APPLE INC,"25,142,928,884.61",189.59,Information Technology,"132,617,379.00",AAPL,7.61,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"22,345,946,993.25",MICROSOFT CORP,"22,345,946,993.25",335.05,Information Technology,"66,694,365.00",MSFT,6.77,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"10,240,751,813.30",AMAZON COM INC,"10,240,751,813.30",127.90,Consumer Discretionary,"80,068,427.00",AMZN,3.1,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"9,055,671,624.64",NVIDIA CORP,"9,055,671,624.64",408.22,Information Technology,"22,183,312.00",NVDA,2.74,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"6,346,743,481.80",ALPHABET INC CLASS A,"6,346,743,481.80",119.10,Communication,"53,289,198.00",GOOGL,1.92,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"6,222,530,245.00",TESLA INC,"6,222,530,245.00",257.50,Consumer Discretionary,"24,165,166.00",TSLA,1.88,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"5,586,238,754.84",META PLATFORMS INC CLASS A,"5,586,238,754.84",281.53,Communication,"19,842,428.00",META,1.69,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"5,501,111,267.74",ALPHABET INC CLASS C,"5,501,111,267.74",120.01,Communication,"45,838,774.00",GOOG,1.67,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"5,389,092,756.95",BERKSHIRE HATHAWAY INC CLASS B,"5,389,092,756.95",336.91,Financials,"15,995,645.00",BRKB,1.63,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"3,978,805,230.60",UNITEDHEALTH GROUP INC,"3,978,805,230.60",476.44,Health Care,"8,351,115.00",UNH,1.21,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"3,869,437,408.10",EXXON MOBIL CORP,"3,869,437,408.10",106.70,Energy,"36,264,643.00",XOM,1.17,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"3,825,163,123.20",JOHNSON & JOHNSON,"3,825,163,123.20",164.10,Health Care,"23,309,952.00",JNJ,1.16,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"3,759,611,112.81",JPMORGAN CHASE & CO,"3,759,611,112.81",143.43,Financials,"26,212,167.00",JPM,1.14,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"3,401,163,704.16",VISA INC CLASS A,"3,401,163,704.16",234.32,Financials,"14,515,038.00",V,1.03,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"3,282,652,553.31",ELI LILLY,"3,282,652,553.31",464.49,Health Care,"7,067,219.00",LLY,0.99,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"3,225,772,005.54",BROADCOM INC,"3,225,772,005.54",862.57,Information Technology,"3,739,722.00",AVGO,0.98,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"3,158,102,033.24",PROCTER & GAMBLE,"3,158,102,033.24",149.38,Consumer Staples,"21,141,398.00",PG,0.96,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"2,909,659,898.69",MASTERCARD INC CLASS A,"2,909,659,898.69",387.67,Financials,"7,505,507.00",MA,0.88,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"2,796,046,647.24",HOME DEPOT INC,"2,796,046,647.24",307.82,Consumer Discretionary,"9,083,382.00",HD,0.85,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"2,584,186,409.14",MERCK & CO INC,"2,584,186,409.14",113.54,Health Care,"22,760,141.00",MRK,0.78,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"2,442,242,748.96",CHEVRON CORP,"2,442,242,748.96",156.24,Energy,"15,631,354.00",CVX,0.74,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"2,272,305,006.84",PEPSICO INC,"2,272,305,006.84",183.88,Consumer Staples,"12,357,543.00",PEP,0.69,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"2,115,020,284.80",COSTCO WHOLESALE CORP,"2,115,020,284.80",531.69,Consumer Staples,"3,977,920.00",COST,0.64,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"2,108,586,045.03",ABBVIE INC,"2,108,586,045.03",133.23,Health Care,"15,826,661.00",ABBV,0.64,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"2,095,375,985.92",COCA-COLA,"2,095,375,985.92",60.02,Consumer Staples,"34,911,296.00",KO,0.63,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"1,990,428,125.70",ADOBE INC,"1,990,428,125.70",483.77,Information Technology,"4,114,410.00",ADBE,0.6,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"1,941,017,970.64",WALMART INC,"1,941,017,970.64",154.28,Consumer Staples,"12,581,138.00",WMT,0.59,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"1,928,413,062.73",MCDONALDS CORP,"1,928,413,062.73",294.47,Consumer Discretionary,"6,548,759.00",MCD,0.58,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"1,881,376,587.81",CISCO SYSTEMS INC,"1,881,376,587.81",51.21,Information Technology,"36,738,461.00",CSCO,0.57,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"1,847,909,773.27",SALESFORCE INC,"1,847,909,773.27",210.43,Information Technology,"8,781,589.00",CRM,0.56,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"1,829,005,044.72",PFIZER INC,"1,829,005,044.72",36.12,Health Care,"50,636,906.00",PFE,0.55,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"1,782,326,823.64",BANK OF AMERICA CORP,"1,782,326,823.64",28.66,Financials,"62,188,654.00",BAC,0.54,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"1,779,698,352.97",THERMO FISHER SCIENTIFIC INC,"1,779,698,352.97",514.39,Health Care,"3,459,823.00",TMO,0.54,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"1,746,591,401.06",ACCENTURE PLC CLASS A,"1,746,591,401.06",308.33,Information Technology,"5,664,682.00",ACN,0.53,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"1,707,572,312.56",NETFLIX INC,"1,707,572,312.56",428.24,Communication,"3,987,419.00",NFLX,0.52,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"1,679,269,375.70",ABBOTT LABORATORIES,"1,679,269,375.70",107.66,Health Care,"15,597,895.00",ABT,0.51,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"1,665,235,636.40",LINDE PLC,"1,665,235,636.40",379.19,Materials,"4,391,560.00",LIN,0.5,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"1,625,764,805.34",ORACLE CORP,"1,625,764,805.34",117.78,Information Technology,"13,803,403.00",ORCL,0.49,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"1,606,808,293.56",ADVANCED MICRO DEVICES INC,"1,606,808,293.56",111.24,Information Technology,"14,444,519.00",AMD,0.49,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"1,547,186,688.19",COMCAST CORP CLASS A,"1,547,186,688.19",41.47,Communication,"37,308,577.00",CMCSA,0.47,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"1,457,930,260.65",WALT DISNEY,"1,457,930,260.65",88.95,Communication,"16,390,447.00",DIS,0.44,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"1,439,321,818.59",TEXAS INSTRUMENT INC,"1,439,321,818.59",176.79,Information Technology,"8,141,421.00",TXN,0.44,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"1,428,716,557.20",WELLS FARGO,"1,428,716,557.20",42.45,Financials,"33,656,456.00",WFC,0.43,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"1,416,367,119.83",DANAHER CORP,"1,416,367,119.83",237.77,Health Care,"5,956,879.00",DHR,0.43,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"1,394,844,147.18",VERIZON COMMUNICATIONS INC,"1,394,844,147.18",36.99,Communication,"37,708,682.00",VZ,0.42,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"1,360,117,257.41",PHILIP MORRIS INTERNATIONAL INC,"1,360,117,257.41",97.69,Consumer Staples,"13,922,789.00",PM,0.41,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"1,321,469,245.17",NEXTERA ENERGY INC,"1,321,469,245.17",72.81,Utilities,"18,149,557.00",NEE,0.4,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"1,281,772,765.80",RAYTHEON TECHNOLOGIES CORP,"1,281,772,765.80",97.80,Industrials,"13,106,061.00",RTX,0.39,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"1,252,913,429.91",NIKE INC CLASS B,"1,252,913,429.91",113.37,Consumer Discretionary,"11,051,543.00",NKE,0.38,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"1,232,365,954.27",HONEYWELL INTERNATIONAL INC,"1,232,365,954.27",206.47,Industrials,"5,968,741.00",HON,0.37,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"1,231,254,556.89",INTEL CORPORATION CORP,"1,231,254,556.89",32.91,Information Technology,"37,412,779.00",INTC,0.37,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"1,206,019,584.00",BRISTOL MYERS SQUIBB,"1,206,019,584.00",64.00,Health Care,"18,844,056.00",BMY,0.37,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"1,191,900,722.48",LOWES COMPANIES INC,"1,191,900,722.48",222.82,Consumer Discretionary,"5,349,164.00",LOW,0.36,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"1,179,688,576.80",QUALCOMM INC,"1,179,688,576.80",118.06,Information Technology,"9,992,280.00",QCOM,0.36,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"1,164,588,592.96",S&P GLOBAL INC,"1,164,588,592.96",395.84,Financials,"2,942,069.00",SPGI,0.35,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"1,147,038,666.78",INTUIT INC,"1,147,038,666.78",455.82,Information Technology,"2,516,429.00",INTU,0.35,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"1,144,514,077.70",UNITED PARCEL SERVICE INC CLASS B,"1,144,514,077.70",176.05,Industrials,"6,501,074.00",UPS,0.35,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"1,129,024,312.48",CATERPILLAR INC,"1,129,024,312.48",244.24,Industrials,"4,622,602.00",CAT,0.34,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"1,119,192,375.80",UNION PACIFIC CORP,"1,119,192,375.80",204.65,Industrials,"5,468,812.00",UNP,0.34,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"1,118,604,686.02",CONOCOPHILLIPS,"1,118,604,686.02",103.06,Energy,"10,853,917.00",COP,0.34,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"1,093,331,909.25",APPLIED MATERIAL INC,"1,093,331,909.25",144.23,Information Technology,"7,580,475.00",AMAT,0.33,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"1,091,908,243.32",INTERNATIONAL BUSINESS MACHINES CO,"1,091,908,243.32",134.06,Information Technology,"8,144,922.00",IBM,0.33,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"1,074,479,289.78",BOEING,"1,074,479,289.78",211.83,Industrials,"5,072,366.00",BA,0.33,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"1,063,870,008.12",INTUITIVE SURGICAL INC,"1,063,870,008.12",338.49,Health Care,"3,142,988.00",ISRG,0.32,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"1,059,971,888.28",AMGEN INC,"1,059,971,888.28",221.16,Health Care,"4,792,783.00",AMGN,0.32,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"1,052,369,519.98",GENERAL ELECTRIC,"1,052,369,519.98",107.74,Industrials,"9,767,677.00",GE,0.32,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"1,035,474,914.43",MEDTRONIC PLC,"1,035,474,914.43",86.77,Health Care,"11,933,559.00",MDT,0.31,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"1,024,711,938.96",AT&T INC,"1,024,711,938.96",15.98,Communication,"64,124,652.00",T,0.31,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"1,014,973,436.04",STARBUCKS CORP,"1,014,973,436.04",98.68,Consumer Discretionary,"10,285,503.00",SBUX,0.31,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"1,006,413,538.50",PROLOGIS REIT INC,"1,006,413,538.50",121.50,Real Estate,"8,283,239.00",PLD,0.3,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"1,001,615,103.84",SERVICENOW INC,"1,001,615,103.84",548.08,Information Technology,"1,827,498.00",NOW,0.3,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"996,010,050.52",MORGAN STANLEY,"996,010,050.52",85.24,Financials,"11,684,773.00",MS,0.3,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"971,426,497.30",DEERE,"971,426,497.30",401.63,Industrials,"2,418,710.00",DE,0.29,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"963,446,302.75",GOLDMAN SACHS GROUP INC,"963,446,302.75",323.09,Financials,"2,981,975.00",GS,0.29,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"935,800,033.50",ELEVANCE HEALTH INC,"935,800,033.50",440.10,Health Care,"2,126,335.00",ELV,0.28,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"924,824,745.60",LOCKHEED MARTIN CORP,"924,824,745.60",457.44,Industrials,"2,021,740.00",LMT,0.28,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"924,502,774.24",BLACKROCK INC,"924,502,774.24",688.21,Financials,"1,343,344.00",BLK,0.28,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"917,762,868.00",AMERICAN EXPRESS,"917,762,868.00",172.08,Financials,"5,333,350.00",AXP,0.28,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"914,474,754.90",STRYKER CORP,"914,474,754.90",301.77,Health Care,"3,030,370.00",SYK,0.28,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"882,934,460.72",MONDELEZ INTERNATIONAL INC CLASS A,"882,934,460.72",72.28,Consumer Staples,"12,215,474.00",MDLZ,0.27,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"879,865,800.26",BOOKING HOLDINGS INC,"879,865,800.26","2,655.91",Consumer Discretionary,"331,286.00",BKNG,0.27,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"864,916,629.04",TJX INC,"864,916,629.04",83.74,Consumer Discretionary,"10,328,596.00",TJX,0.26,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"859,740,867.60",ANALOG DEVICES INC,"859,740,867.60",189.48,Information Technology,"4,537,370.00",ADI,0.26,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"850,432,336.27",GILEAD SCIENCES INC,"850,432,336.27",76.01,Health Care,"11,188,427.00",GILD,0.26,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"825,068,093.60",MARSH & MCLENNAN INC,"825,068,093.60",185.93,Financials,"4,437,520.00",MMC,0.25,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"808,308,758.76",CITIGROUP INC,"808,308,758.76",46.29,Financials,"17,461,844.00",C,0.24,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"805,667,098.97",AMERICAN TOWER REIT CORP,"805,667,098.97",192.73,Real Estate,"4,180,289.00",AMT,0.24,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"804,356,035.14",VERTEX PHARMACEUTICALS INC,"804,356,035.14",348.18,Health Care,"2,310,173.00",VRTX,0.24,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"802,114,608.92",AUTOMATIC DATA PROCESSING INC,"802,114,608.92",216.46,Industrials,"3,705,602.00",ADP,0.24,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"790,700,944.32",CVS HEALTH CORP,"790,700,944.32",68.76,Health Care,"11,499,432.00",CVS,0.24,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"771,624,834.96",LAM RESEARCH CORP,"771,624,834.96",640.36,Information Technology,"1,204,986.00",LRCX,0.23,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"761,661,572.16",CHARLES SCHWAB CORP,"761,661,572.16",57.14,Financials,"13,329,744.00",SCHW,0.23,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"735,792,388.75",CIGNA,"735,792,388.75",277.25,Health Care,"2,653,895.00",CI,0.22,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"720,030,319.56",ALTRIA GROUP INC,"720,030,319.56",44.97,Consumer Staples,"16,011,348.00",MO,0.22,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"712,403,556.18",ZOETIS INC CLASS A,"712,403,556.18",171.87,Health Care,"4,145,014.00",ZTS,0.22,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"710,953,773.95",EATON PLC,"710,953,773.95",198.85,Industrials,"3,575,327.00",ETN,0.22,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"706,928,029.28",T MOBILE US INC,"706,928,029.28",136.84,Communication,"5,166,092.00",TMUS,0.21,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"702,409,869.90",CHUBB LTD,"702,409,869.90",189.10,Financials,"3,714,489.00",CB,0.21,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"693,443,572.32",PROGRESSIVE CORP,"693,443,572.32",132.07,Financials,"5,250,576.00",PGR,0.21,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"687,617,165.62",PALO ALTO NETWORKS INC,"687,617,165.62",253.33,Information Technology,"2,714,314.00",PANW,0.21,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"687,215,849.75",BOSTON SCIENTIFIC CORP,"687,215,849.75",53.29,Health Care,"12,895,775.00",BSX,0.21,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"686,877,627.15",FISERV INC,"686,877,627.15",124.05,Financials,"5,537,103.00",FI,0.21,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"685,590,457.08",REGENERON PHARMACEUTICALS INC,"685,590,457.08",708.42,Health Care,"967,774.00",REGN,0.21,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"676,232,343.36",SOUTHERN,"676,232,343.36",69.14,Utilities,"9,780,624.00",SO,0.2,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"663,685,902.36",BECTON DICKINSON,"663,685,902.36",260.52,Health Care,"2,547,543.00",BDX,0.2,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"659,104,026.58",PAYPAL HOLDINGS INC,"659,104,026.58",65.86,Financials,"10,007,653.00",PYPL,0.2,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"651,833,372.34",EQUINIX REIT INC,"651,833,372.34",777.03,Real Estate,"838,878.00",EQIX,0.2,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"631,491,392.21",MICRON TECHNOLOGY INC,"631,491,392.21",64.33,Information Technology,"9,816,437.00",MU,0.19,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"626,773,761.48",AON PLC CLASS A,"626,773,761.48",342.12,Financials,"1,832,029.00",AON,0.19,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"619,680,807.04",SCHLUMBERGER NV,"619,680,807.04",48.47,Energy,"12,784,832.00",SLB,0.19,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"617,652,270.03",CSX CORP,"617,652,270.03",33.87,Industrials,"18,235,969.00",CSX,0.19,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"616,450,426.86",ILLINOIS TOOL INC,"616,450,426.86",248.51,Industrials,"2,480,586.00",ITW,0.19,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"614,387,177.36",DUKE ENERGY CORP,"614,387,177.36",88.88,Utilities,"6,912,547.00",DUK,0.19,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"592,802,068.00",EOG RESOURCES INC,"592,802,068.00",113.00,Energy,"5,246,036.00",EOG,0.18,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"591,619,291.20",CME GROUP INC CLASS A,"591,619,291.20",183.36,Financials,"3,226,545.00",CME,0.18,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"587,296,895.51",KLA CORP,"587,296,895.51",477.23,Information Technology,"1,230,637.00",KLAC,0.18,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"587,256,363.00",AIR PRODUCTS AND CHEMICALS INC,"587,256,363.00",294.75,Materials,"1,992,388.00",APD,0.18,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"584,557,185.30",SYNOPSYS INC,"584,557,185.30",427.90,Information Technology,"1,366,107.00",SNPS,0.18,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"577,741,185.56",NORTHROP GRUMMAN CORP,"577,741,185.56",451.22,Industrials,"1,280,398.00",NOC,0.17,2023-06-29,iShares Core S&P 500 ETF,ivv
