ticker,etf-id,etf_name,file_name
eis,239672,ishares-msci-new-zealand-capped-etf,EIS_holdings
enzl,239753,ishares-global-utilities-etf,ENZL_holdings
jxi,239831,ishares-japan-largecap-etf,JXI_holdings
jpxn,308878,ishares-genomics-immunology-and-healthcare-etf,JPXN_holdings
idna,239666,ishares-msci-japan-smallcap-etf,IDNA_holdings
scj,239537,ishares-developed-smallcap-ex-north-america-etf,SCJ_holdings
ieus,239606,ishares-msci-all-peru-capped-etf,IEUS_holdings
epu,273771,ishares-currency-hedged-msci-eafe-small-cap-etf,EPU_holdings
hscz,239675,ishares-msci-philippines-etf,HSCZ_holdings
ephe,239662,ishares-msci-ireland-capped-etf,EPHE_holdings
eirl,264273,ishares-msci-qatar-capped-etf,EIRL_holdings
qat,239614,ishares-msci-bric-etf,QAT_holdings
bkf,239620,ishares-msci-china-smallcap-etf,BKF_holdings
ecns,312763,ishares-msci-kuwait-etf,ECNS_holdings
kwt,316020,ishares-esg-advanced-msci-em-etf,KWT_holdings
emxf,239609,ishares-msci-austria-capped-etf,EMXF_holdings
ewo,312222,ishares-esg-msci-em-leaders-etf,EWO_holdings
ldem,239691,ishares-msci-united-kingdom-smallcap-etf,LDEM_holdings
ewus,264275,ishares-msci-uae-capped-etf,EWUS_holdings
uae,239443,ishares-asiapacific-dividend-etf,UAE_holdings
dvya,239673,ishares-msci-norway-capped-etf,DVYA_holdings
enor,259623,ishares-currency-hedged-msci-germany-etf,ENOR_holdings
hewg,239735,ishares-emerging-markets-infrastructure-etf,HEWG_holdings
emif,239651,ishares-msci-germany-smallcap-etf,EMIF_holdings
ewgs,239610,ishares-msci-belgium-capped-etf,EWGS_holdings
ewk,239647,ishares-msci-finland-capped-etf,EWK_holdings
efnl,275384,ishares-msci-international-developed-size-factor-etf,EFNL_holdings
isze,273775,ishares-currency-hedged-msci-canada-etf,ISZE_holdings
hewc,273763,ishares-currency-hedged-msci-united-kingdom-etf,HEWC_holdings
