一级行业,二级行业,三级行业,四级行业,释义
公用事业,公用事业,电力及电网,火电,火力发电公司。
公用事业,公用事业,电力及电网,水电,水力发电公司。
公用事业,公用事业,电力及电网,核电,核能发电公司。
公用事业,公用事业,电力及电网,风电,风能发电公司。
公用事业,公用事业,电力及电网,光伏发电,太阳能发电公司。
公用事业,公用事业,电力及电网,其他能源发电,使用其他能源的电力生产商，包括沼气、生物质能、地热、潮汐发电。
公用事业,公用事业,电力及电网,电网,电网以及电力专业销售贸易公司和/或综合性能源商。
公用事业,公用事业,燃气,燃气,包括主要任务为配送天然气和人工煤气的公司。不包括那些归类于“天然气加工”子行业中主要从事天然气勘探和生产的公司，也不包括那些归类于“油气流通及其他”子行业中的各类处于市场中游的天然气公司。
公用事业,公用事业,水务,水务,购买水后再把水配送给最终消费者的公司，包括大型水处理系统。
公用事业,公用事业,市政环卫,市政环卫,提供城市环境卫生管理服务的公司。
公用事业,公用事业,供热及其他,供热及其他,提供供热服务或其他公用事业的公司。
房地产,房地产,房地产开发与园区,房地产开发,从事房地产开发的公司，不包括园区开发的公司。
房地产,房地产,房地产开发与园区,园区,从事园区开发的公司。
房地产,房地产,房地产管理与服务,房地产管理,从事房地产管理的公司。
房地产,房地产,房地产管理与服务,房地产服务,从事房地产出租、销售、代理、中介和评估等服务的公司。
房地产,房地产,房地产投资信托(REITs),房地产投资信托(REITs),房地产投资信托(REITs)。
