Ticker,Description,Price,Change %,Change,Technical Rating,Volume,Volume*Price,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector,Industry,1-Month High,1-Month Low,1-Year Beta,3-Month High,3-Month Low,3-Month Performance,5Y Performance,6-Month High,6-Month Low,6-Month Performance,52 Week High,52 Week Low,All Time High,All Time Low,Average Volume (10 day),Average Volume (30 day),Average Volume (60 day),Average Volume (90 day),Cash and short term investments (FY),Cash and short term investments (MRQ),Cash & Equivalents (FY),Cash & Equivalents (MRQ),"Change 1M, %","Change 1W, %",Country,Debt to Equity Ratio (MRQ),Current Ratio (MRQ),Dividends per share (Annual YoY Growth),Dividends per Share (FY),Dividends per Share (MRQ),Dividend Yield Forward,EBITDA (Annual YoY Growth),EBITDA (Quarterly QoQ Growth),EBITDA (Quarterly YoY Growth),EBITDA (TTM),EBITDA (TTM YoY Growth),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ),EPS Diluted (Annual YoY Growth),EPS Diluted (FY),EPS Diluted (MRQ),EPS Diluted (Quarterly QoQ Growth),EPS Diluted (Quarterly YoY Growth),EPS Diluted (TTM),EPS Diluted (TTM YoY Growth),EPS Forecast (MRQ),Exponential Moving Average (5),Exponential Moving Average (20),Exponential Moving Average (30),Exponential Moving Average (100),Free Cash Flow (Annual YoY Growth),Free Cash Flow Margin (FY),Free Cash Flow Margin (TTM),Free Cash Flow (Quarterly QoQ Growth),Free Cash Flow (Quarterly YoY Growth),Free Cash Flow (TTM YoY Growth),Gross Margin (FY),Gross Margin (TTM),Gross Profit (Annual YoY Growth),Gross Profit (FY),Gross Profit (MRQ),Gross Profit (Quarterly QoQ Growth),Gross Profit (Quarterly YoY Growth),Gross Profit (TTM YoY Growth),Money Flow (14),Net Debt (MRQ),Net Income (Annual YoY Growth),Net Income (FY),Net Income (Quarterly QoQ Growth),Net Income (Quarterly YoY Growth),Net Income (TTM YoY Growth),Net Margin (FY),Net Margin (TTM),Operating Margin (FY),Operating Margin (TTM),Price to Book (FY),Price to Book (MRQ),Price to Free Cash Flow (TTM),Price to Revenue Ratio (TTM),Price to Sales (FY),Quick Ratio (MRQ),Recent Earnings Date,Relative Strength Index (7),Relative Strength Index (14),Research & development Ratio (FY),Research & development Ratio (TTM),Return on Assets (TTM),Return on Equity (TTM),Return on Invested Capital (TTM),Revenue (Annual YoY Growth),Revenue per Employee (FY),Revenue (Quarterly QoQ Growth),Revenue (Quarterly YoY Growth),Revenue (TTM YoY Growth),Shares Float,Simple Moving Average (5),Simple Moving Average (10),Simple Moving Average (30),Simple Moving Average (100),Total Assets (Annual YoY Growth),Total Assets (MRQ),Total Assets (Quarterly QoQ Growth),Total Assets (Quarterly YoY Growth),Total Debt (Annual YoY Growth),Total Current Assets (MRQ),Total Debt (MRQ),Total Debt (Quarterly QoQ Growth),Total Debt (Quarterly YoY Growth),Total Liabilities (FY),Total Liabilities (MRQ),Total Revenue (FY),Total Shares Outstanding,Upcoming Earnings Date,Volatility,Volatility Month,Volatility Week,Volume Weighted Average Price,Volume Weighted Moving Average (20),YTD Performance,Weekly Performance,Yearly Performance,Simple Moving Average (20),Simple Moving Average (50),Simple Moving Average (200),Pretax Margin (TTM),Dividends Paid (FY),Exponential Moving Average (50),Exponential Moving Average (10),Basic EPS (FY)
SMCI,"Super Micro Computer, Inc.",269.93,3.81523788,9.92,Strong Buy,2511172,677840657.96,14168218007,25.43701763,11.1336,4607,Electronic Technology,Computer Communications,270.2,213.08,1.3430042,270.2,93.19,151.40169507,1008.54209446,270.2,69.02,244.69416422,270.2,39.63,270.2,3.63,2413371.2,3167656.13333333,2544268.16666667,2205870.61111111,267648000.00000003,362801000,267648000.00000003,362601000,8.29689067,3.81523788,United States,0.11706468,2.47963071,,0,0,,142.97189283,-51.83062221,7.66189026,733954000,203.33064699,19.09193356,5836010000,154.3980485,5.3187,1.63,-51.34807827,6.67318846,10.6117,208.71298074,2.554286,257.62703447,238.49291879,226.79451942,166.97594723,-855.80943801,-9.36423652,9.241459,25.83034616,179.64351346,251.80858666,15.39618471,18.23311882,49.66213815,800001000,226359000,-32.91516262,7.39366623,82.12067436,73.18553699,-155783000,154.91708756,285163000,-51.27010166,11.52886764,220.02256094,5.48802092,8.9328227,6.48884865,10.64179161,9.90499382,8.01116868,24.98427874,2.30891188,2.78522348,1.06948132,2023-05-02,78.33898396,71.46569567,5.2399502,4.4606691,18.75068748,38.60762947,35.05042836,46.06361011,1127870.4145865,-28.8321008,-5.32604446,42.00032227,45616600.603,256.934,244.846,236.943,149.3875,42.96808441,3192604000,3.82647868,3.95376105,421.25895625,2708699000,207018000,8.28264019,-63.88223492,1789508000,1424031000,5196099000,52488500,2023-08-16,6.6677194,6.2637738,5.63308514,264.48,240.62869878,224.90370727,5.90058457,572.13645418,241.015,197.2918,112.46955,10.57644407,0,204.57085915,249.42974397,5.5395
AMKR,"Amkor Technology, Inc.",27.91,-0.1431127,-0.04,Buy,646845,18053443.95,6855831935.999999,10.73131344,2.6164,31300,Electronic Technology,Semiconductors,30.245,25.55,1.8116769,30.245,20.4226,13.2711039,215.7239819,31.38,20.4226,-5.03572644,31.38,15.88,65.3125,1.13,1314454,1231858.23333333,976437.26666667,963323.93333333,1241036000,1251624000,959072000,909802000,-6.18487395,-0.1431127,United States,0.37489534,2.0813043,32.35294118,0.225,0.075,1.0748836,13.52985229,-40.99396763,-37.0561139,1377153000,-2.47551536,5.09797091,6594060000,18.85747039,3.1105,0.18,-72.44744745,-73.55145575,2.6008,-7.83841247,0.207921,28.15509323,27.47385526,26.84244153,25.42051395,-41.92046688,2.66355124,3.70908091,-64.54127139,866.12662014,-3.15730295,18.75443924,17.21253209,8.52128915,1329987000,194421000,-41.83783363,-40.23883441,-6.71194616,73.02553799,134168000,19.10248136,765823000,-72.3976117,-73.42657752,-7.68726337,10.79903858,9.19441116,12.65141714,10.85052513,1.86452748,1.85397136,26.68951944,0.98993587,0.96897683,1.69122136,2023-05-01,49.38647098,56.31110257,2.1071312,2.26968144,10.00206284,18.85908194,14.09329779,15.52956839,226568.21086262,-22.8028916,-7.8454249,8.69579396,93378461.022,28.27,28.586,26.82566667,24.997,12.97004217,6581791000,-3.51765681,5.71821683,11.33328712,3033603000,1385792000,-9.17639595,-3.49873088,3122056000,2854628000,7091585000,245641000,2023-07-24,1.88476037,3.18669765,3.05873443,28.04833333,27.72830318,13.45528455,-6.53047555,71.54271666,27.5075,24.8832,24.706825,10.22154059,-55116000,26.07580774,28.11290648,3.13
GTLS,"Chart Industries, Inc.",162.37,4.46503249,6.94,Buy,501197,81379356.89,6814115775.999999,,-0.1257,5178,Producer Manufacturing,Industrial Machinery,162.97,131.765,0.9738487,162.97,106.66,45.58414776,157.97585002,162.97,101.4401,25.43066821,242.585,101.4401,242.585,5.17,440357.8,650744.1,620311.51666667,721382.97777778,2605300000,169400000,2605300000,169400000,1.61461919,4.46503249,United States,1.64425057,1.24858594,,0,0,,31.54864709,27.6481149,74.69287469,238800000,34.45945946,46.36606271,9517380000,-62.38870339,0.5407,1.41,53.46880315,-307.83686525,-0.3398,-132.05660377,1.060631,157.22030881,149.23757861,144.29187158,134.9498701,108.91891892,0.40932771,-1.23037524,-1511.11111111,-82.47126437,79.0719697,22.63706276,22.99298519,26.78013199,365000000,129699999.99999999,20.65116279,75.74525745,39.62136579,65.7030569,4221899999.999999,-59.39086294,24000000,62.87128713,-247.05882353,-102.74599542,5.06077896,3.16223138,9.09203672,8.02249193,2.5368834,2.55134429,,3.7912247,4.20929422,0.90124668,2023-04-28,68.72804353,66.64635879,0.83726123,,0.92097903,2.64715477,1.25775022,22.36472642,311394.36075705,21.86225646,51.90624117,29.84891202,41736371.2324,156.224,155.911,139.997,129.2635,93.89907353,9248800000,56.70885647,199.71159143,162.21292001,2163300000,4391300000,89.46800708,388.57365376,3211500000,6535800000,1612400000,41966600,2023-07-28,5.27777778,4.45945599,4.83101983,160.04666667,149.27689514,41.36339892,1.3545568,0.42676893,150.6945,132.199,141.39505,3.69669302,0,138.31781744,155.02025162,0.6234
APPF,"AppFolio, Inc.",174.93,1.86932215,3.21,Buy,45014,7874299.02,6726682052,,-2.5266,1785,Technology Services,Information Technology Services,178.1,162.32,1.2318591,178.1,123.36,37.44794531,178.55095541,178.1,102.8463,51.25810636,178.1,89.58,186.59,11.07,79465.1,123222.96666667,112074.55,114286.51111111,160066000,168947000,70769000,103925000,1.62077379,1.86932215,United States,0.20114395,2.65421474,,0,0,,-262.69963006,-64.47261937,-240.80491895,-48988000,-439.32257394,,4291390000.000001,-6855.90277778,-1.9457,-0.99,-77.14592275,-141.55084126,-2.5266,-538.19146249,-0.2625,172.57271646,167.85064843,163.81684408,144.39302577,-17.95157571,4.52421469,5.24023896,-75.23961661,145.01887888,-3.43841642,52.3303446,52.84103229,33.78300042,246938000,72221000,10.13663952,34.90678821,32.90486888,56.96050813,-120558000,-6726.3618677,-68119000,-78.22335025,-145.74788269,-547.41592663,-14.43556983,-17.69331612,-15.33642873,-16.75615244,23.26397893,25.78475997,235.36724584,12.33380611,12.97842749,2.65421474,2023-04-27,69.50318013,67.12936481,23.54778621,24.75894543,-23.07981742,-33.6066441,-28.2555587,31.30840081,264360.22408964,9.70675007,29.25467254,30.31588225,18414014.1858,172.586,170.51,163.77033333,139.9877,-6.56835377,370700000,-2.75879617,-7.33287671,-6.96616731,211878000,48389000,-9.71190805,-15.07274865,115671000,130131000,471883000,35485600,2023-07-31,2.95821629,2.84864509,2.0255879,173.915,170.75593896,64.28437265,2.20858896,76.50085763,170.651,154.289,126.02205,-15.37616847,0,156.57268038,171.2634745,-1.9457
RMBS,"Rambus, Inc.",61.56,2.08955224,1.26,Buy,915103,56333740.68,6700509226.999999,124.99492386,0.5041,765,Electronic Technology,Semiconductors,65.24,57.07,0.9946076,68.54,43.58,22.14285714,382.44514107,68.54,37.88,61.61722237,68.54,20.78,127,3.08,1385944.6,1671105.9,1492689.3,1385499.78888889,313226000,292137000,125334000,99876000,-4.06732118,2.08955224,United States,0.04255319,5.12366128,,0,0,,71.34023119,-35.3876443,6.44780814,128491000.00000001,47.90160689,50.12636081,5437980000,-181.89223058,-0.1307,0.23746,-79.49965254,104.89545304,0.4925,217.31777037,0.389696,61.43920704,61.15722576,60.34132837,53.11604198,9.79896611,48.33715559,44.82635968,-31.76683142,-22.1932795,1.65527568,69.04745676,67.65657448,36.60657578,314023000,72830000,-9.14194466,5.24262305,25.81582981,52.26253872,-259723000,-178.05170721,-14310000,-79.42817732,104.95484611,221.90806477,-3.14648642,11.7547204,17.60207391,16.90589025,8.50060206,8.79644713,32.5121812,14.57402728,14.81794205,4.85144634,2023-05-01,50.97696887,52.92583048,34.91016792,34.25991204,5.45479255,7.09892562,6.85185679,38.52801062,594500.65359477,-7.03212467,14.85310449,31.52432124,107961178.6,61.796,61.342,62.345,51.9354,-17.85200293,962630000,-4.93425796,-9.26075174,-77.62277516,492763000,32414000,-27.12843686,-69.89029567,233297000,200901000,454793000,108845000,2023-07-31,3.56068205,3.12983814,3.05017978,61.11,61.28503033,70.14925373,-4.85316847,189.01408451,61.317,57.7752,43.59435,13.06929639,0,58.16267585,61.45466104,-0.1307
SPSC,"SPS Commerce, Inc.",181.23,-0.5705821,-1.04,Neutral,240938,43665193.74,6620831360,115.92042983,1.5974,2215,Technology Services,Packaged Software,192.67,172.345,1.2775416,192.67,140,20.31467835,368.9003881,192.67,126.51,40.99113117,192.67,100.06,192.67,4.225,189113.2,220141.73333333,176578.75,170374.22222222,214305000,233450000,162893000,182304000,-5.63886286,-0.5705821,United States,0.02847727,2.73499687,,0,0,,24.21530269,-7.61252016,10.34407284,101734000,21.47053205,62.94352291,5441370000,23.65324051,1.492,0.67,-4.41347271,20.78074552,1.5634,23.02486623,0.629375,184.46294126,181.60996033,177.70736563,160.76361846,-9.69915924,18.12786249,20.84784222,-6.63780664,6683.06451613,35.78453039,63.44153036,63.14515958,17.48455675,286042000,79053000,3.14175745,17.40428313,17.53136027,38.61622378,-217335000,23.62714981,55134000,-3.93339617,21.31238594,23.0212766,12.2282229,12.26169017,15.78752426,15.14197858,12.20117292,11.6998592,68.4949409,14.27971721,14.8533234,2.73499687,2023-04-26,39.76406469,54.00529233,10.14649293,10.0964903,8.82589764,10.93614498,10.66058965,17.02649529,203555.30474041,3.15527217,19.65434962,17.77708398,36257452.28640001,185.726,186.354,176.61433333,158.19585,9.26660236,696927000,3.5685095,13.63409576,-15.81766826,292538000,16115000,-6.77426819,-18.09402795,135841000,131037000,450875000,36532800,2023-07-27,1.94664744,2.08046627,2.25829419,181.78666667,183.29622323,38.99072015,-4.97588087,55.56223176,183.415,167.8466,144.169875,15.35298484,0,171.25841264,184.84031295,1.5265
CHX,ChampionX Corporation,33.25,2.21334153,0.72,Strong Buy,2031944,67562138,6582628872,37.4226224,0.91,7300,Process Industries,Chemicals: Specialty,33.275,27.15,1.5231363,33.275,24.98,17.94962753,-19.49152542,33.65,23.66,6.84447301,33.65,16.77,46.11,2.89,1830935.1,1504154.66666667,1379128.73333333,1494857.95555556,250187000,247996000,250187000,247996000,7.11984536,2.21334153,United States,0.40672005,1.74611864,,0.3,0.085,1.0225564,43.89223631,-1.01278178,46.16692577,671717000,44.1969547,10.42541111,5912490000,37.47012318,0.7477,0.36,-5.48192771,78.59988617,0.8885,28.56316018,0.440679,31.94936325,29.87090872,29.24491175,28.27602008,27.40333532,8.15964905,11.5762145,-60.57879392,189.3193348,327.06882484,24.80893065,26.35066166,25.30290122,944215000,283929000,8.55131862,39.49406019,29.61146995,77.48442199,438835000,36.77878887,154969000,-6.37369763,73.10228325,26.04885287,4.07175821,4.67549735,9.79569348,11.07996096,3.8949112,3.89854634,14.95401247,1.73110856,1.81068206,1.04245268,2023-04-24,83.12374746,75.72915846,1.18498729,,5.27025879,10.44540293,7.42497993,23.77106917,521362.73972603,-3.8046163,9.51394984,19.41833417,195945162.448,31.826,30.69,28.61533333,28.1792,-4.16493503,3327336000,-1.77556611,-6.84214151,-12.87273659,1468498000,686831000,-6.47904316,-16.79525992,1710268000,1657167000,3805948000,197974000,2023-07-24,2.98669143,3.15288121,4.52891426,32.945,29.61268479,15.93444909,6.4,73.99267399,29.39,27.883,28.05815,6.27651681,-45594000,28.66588431,30.9937752,0.7682
CHRD,Chord Energy Corporation,156.34,0.57900154,0.9,Strong Buy,308495,48230108.3,6495915397,3.70333523,44.2634,531,Energy Minerals,Integrated Oil,157.61,146.39,0.72883487,157.61,133.34,9.14549009,1090.7083016,157.61,117.05,18.45734202,164.795,101.3,181.34,0.1503,364356.7,447148.33333333,431717.58333333,607868.68888889,593151000,592300000,593151000,592300000,1.65149545,0.57900154,United States,0.09004106,1.18139844,125.84615385,3.67,1.25,3.198158,185.93686236,-18.93153992,37.7330444,2080824000,99.96002383,3.04307207,5644040000,271.82626336,57.5535,4.49,-20.37688268,-71.48402706,42.216,1.73878466,4.655468,154.48514133,151.69869181,150.3363099,144.68046898,99.41565601,38.18968113,37.8484108,18.49603325,36.78632889,97.19627044,48.83440085,46.89594208,166.86836628,1780890000,357329000,-24.31298373,13.54014413,89.21991421,51.67210476,-163818000,480.7720227,1856159000,-21.33893762,-36.26671931,103.46828686,39.22522084,44.90645169,45.77420606,41.69418995,1.38564281,1.36466446,4.58147478,1.7340154,1.38261754,1.13338359,2023-05-03,63.15562119,59.77679635,,,36.30783082,56.34893334,49.80725158,130.82055742,6867785.31073446,-11.72564476,37.29855476,97.51493289,40323887.1007,154.546,152.761,150.43116667,141.72535,131.05370404,6615403000,-5.87047855,119.93076343,2.66647728,1498116000,428482000,2.21007259,0.80909461,2348181000,1856663000,3646794000,41549900,2023-08-02,1.17669878,2.37896782,3.30592868,155.83333333,150.73849685,15.74739024,1.71763175,41.13929764,151.467,147.0715,142.37305,46.10919911,-654728000,148.00923178,153.2800114,60.8637
CVNA,Carvana Co.,34.27,16.36672326,4.82,Strong Buy,48778057,1671624013.39,6479853534,,-14.139,16600,Retail Trade,Specialty Stores,34.59,18.46,5.6362033,34.59,6.7,250.05107252,-23.2474804,34.59,5.16,664.95535714,58.05,3.55,376.83,3.55,22594074.5,33595969.8,25595635.63333334,21314175.92222222,949000000,1006000000,628000000,694000000,32.21450617,16.36672326,United States,,1.61964912,,0,0,,-123000,89.3557423,90.30612245,-874000000,-147.59206799,,8401850000,-865.44807704,-15.7397,-1.51,80.1676675,47.69907825,-14.139,-250.73053357,-1.219166,29.16428483,24.53776152,22.34360904,16.03619304,45.13930053,-13.60629227,-7.95248958,86.49921507,90.71274298,72.57189365,7.35812996,7.80303626,-45.18072289,1001000000,253000000,116.23931624,-3.4351145,-44.01805869,51.2154184,8026000000,-1075.55555556,-1587000000,80.14888337,38.46153846,-314.20612813,-11.66568656,-11.69668843,-10.95266098,-9.37622906,,,,0.28577023,0.25399703,1.09859649,2023-05-04,77.36837992,71.15426074,,,-18.32296223,,-29.0827303,6.16513189,819518.07228916,-8.14240395,-25.47898198,-9.61893929,84352785.894,27.938,26.459,21.617,12.9073,23.9914469,8646000000,-0.59783858,13.98813448,53.30001723,4616000000,9032000000,1.52877698,33.74796387,9751000000,9968000000,13604000000,106182000,2023-08-03,23.00853485,14.02327036,15.77273024,32.32666667,24.51866062,612.47401247,32.31660232,32.41885626,24.9085,17.0104,12.02195,-21.04145363,0,19.18791816,27.18232219,-15.7397
APG,APi Group Corporation,27.08,2.53691783,0.67,Buy,993580,26906146.4,6477885473,116.42304385,0.2653,26000,Industrial Services,Engineering & Construction,27.48,24.55,1.4770445,27.48,21.02,27.67562471,197.58241758,27.48,19.255,40.38361846,27.48,13.09,27.48,4.3,817944.8,1083577.06666667,1004578.51666667,1147103.32222222,607000000,363000000,607000000,363000000,-0.66030814,2.53691783,United States,0.95239703,1.5261459,,0,0,,46.74556213,5,113.04347826,574000000,59.88857939,16.95624647,9261030000,116.37128267,0.109,0.25,36.16504854,172.29381443,0.2326,136.56082993,0.397025,26.74201689,25.96458504,25.41515243,23.21280958,64.65517241,2.91247332,4.83221477,-113.01775148,85.80645161,711.32075472,23.23879231,23.62416107,86.53610771,1524000000,377000000,-8.49514563,17.08074534,60.32388664,44.11341681,2458000000,55.31914894,73000000,18.18181818,471.42857143,120.83333333,1.11314425,1.58090977,2.92772187,4.05667412,3.02252046,2.99209327,22.33032455,1.07904924,1.09872928,1.42091672,2023-05-04,66.35363119,67.80597011,,,1.33266281,3.51167799,1.79950768,66.44670051,252230.76923077,-5.22607164,9.72127804,45.5078125,151497984.014,26.748,26.682,25.178,23.0755,56.83271952,7766000000,-4.0168088,-4.61802997,61.66577683,2364000000,2821000000,-6.83619551,-8.0208673,5167000000,4804000000,6558000000,173294000,2023-08-09,2.98338369,1.88668569,2.04507655,26.92,25.86815419,42.07764953,-0.18429783,78.51021753,26.046,24.1486,20.5524,2.29679344,0,24.58146024,26.54761206,0.1244
