Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date,etf_name,etf_ticker,as_of_date
AAPL,APPLE INC,Information Technology,Equity,"25,142,928,884.61",7.61,"25,142,928,884.61","132,617,379.00",189.59,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-29
MSFT,MICROSOFT CORP,Information Technology,Equity,"22,345,946,993.25",6.77,"22,345,946,993.25","66,694,365.00",335.05,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-29
AMZN,AMAZON COM INC,Consumer Discretionary,Equity,"10,240,751,813.30",3.1,"10,240,751,813.30","80,068,427.00",127.90,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-29
NVDA,NVIDIA CORP,Information Technology,Equity,"9,055,671,624.64",2.74,"9,055,671,624.64","22,183,312.00",408.22,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-29
GOOGL,ALPHABET INC CLASS A,Communication,Equity,"6,346,743,481.80",1.92,"6,346,743,481.80","53,289,198.00",119.10,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-29
TSLA,TESLA INC,Consumer Discretionary,Equity,"6,222,530,245.00",1.88,"6,222,530,245.00","24,165,166.00",257.50,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-29
META,META PLATFORMS INC CLASS A,Communication,Equity,"5,586,238,754.84",1.69,"5,586,238,754.84","19,842,428.00",281.53,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-29
GOOG,ALPHABET INC CLASS C,Communication,Equity,"5,501,111,267.74",1.67,"5,501,111,267.74","45,838,774.00",120.01,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-29
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,Equity,"5,389,092,756.95",1.63,"5,389,092,756.95","15,995,645.00",336.91,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-29
UNH,UNITEDHEALTH GROUP INC,Health Care,Equity,"3,978,805,230.60",1.21,"3,978,805,230.60","8,351,115.00",476.44,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-29
XOM,EXXON MOBIL CORP,Energy,Equity,"3,869,437,408.10",1.17,"3,869,437,408.10","36,264,643.00",106.70,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-29
JNJ,JOHNSON & JOHNSON,Health Care,Equity,"3,825,163,123.20",1.16,"3,825,163,123.20","23,309,952.00",164.10,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-29
JPM,JPMORGAN CHASE & CO,Financials,Equity,"3,759,611,112.81",1.14,"3,759,611,112.81","26,212,167.00",143.43,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-29
V,VISA INC CLASS A,Financials,Equity,"3,401,163,704.16",1.03,"3,401,163,704.16","14,515,038.00",234.32,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-29
LLY,ELI LILLY,Health Care,Equity,"3,282,652,553.31",0.99,"3,282,652,553.31","7,067,219.00",464.49,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-29
AVGO,BROADCOM INC,Information Technology,Equity,"3,225,772,005.54",0.98,"3,225,772,005.54","3,739,722.00",862.57,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-29
PG,PROCTER & GAMBLE,Consumer Staples,Equity,"3,158,102,033.24",0.96,"3,158,102,033.24","21,141,398.00",149.38,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-29
MA,MASTERCARD INC CLASS A,Financials,Equity,"2,909,659,898.69",0.88,"2,909,659,898.69","7,505,507.00",387.67,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-29
HD,HOME DEPOT INC,Consumer Discretionary,Equity,"2,796,046,647.24",0.85,"2,796,046,647.24","9,083,382.00",307.82,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-29
MRK,MERCK & CO INC,Health Care,Equity,"2,584,186,409.14",0.78,"2,584,186,409.14","22,760,141.00",113.54,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-29
CVX,CHEVRON CORP,Energy,Equity,"2,442,242,748.96",0.74,"2,442,242,748.96","15,631,354.00",156.24,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-29
PEP,PEPSICO INC,Consumer Staples,Equity,"2,272,305,006.84",0.69,"2,272,305,006.84","12,357,543.00",183.88,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-29
COST,COSTCO WHOLESALE CORP,Consumer Staples,Equity,"2,115,020,284.80",0.64,"2,115,020,284.80","3,977,920.00",531.69,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-29
ABBV,ABBVIE INC,Health Care,Equity,"2,108,586,045.03",0.64,"2,108,586,045.03","15,826,661.00",133.23,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-29
KO,COCA-COLA,Consumer Staples,Equity,"2,095,375,985.92",0.63,"2,095,375,985.92","34,911,296.00",60.02,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-29
ADBE,ADOBE INC,Information Technology,Equity,"1,990,428,125.70",0.6,"1,990,428,125.70","4,114,410.00",483.77,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-29
