Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date,etf_name,etf_ticker,as_of_date
AAPL,APPLE INC,Information Technology,Equity,"25,084,450,673.75",7.64,"25,084,450,673.75","132,546,635.00",189.25,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
MSFT,MICROSOFT CORP,Information Technology,Equity,"22,387,354,285.65",6.81,"22,387,354,285.65","66,658,789.00",335.85,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
AMZN,AMAZON COM INC,Consumer Discretionary,Equity,"10,326,518,263.60",3.14,"10,326,518,263.60","80,025,715.00",129.04,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
NVDA,NVIDIA CORP,Information Technology,Equity,"9,116,247,431.60",2.78,"9,116,247,431.60","22,171,480.00",411.17,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
GOOGL,ALPHABET INC CLASS A,Communication,Equity,"6,400,879,819.32",1.95,"6,400,879,819.32","53,260,774.00",120.18,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
TSLA,TESLA INC,Consumer Discretionary,Equity,"6,188,779,714.72",1.88,"6,188,779,714.72","24,152,278.00",256.24,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
META,META PLATFORMS INC CLASS A,Communication,Equity,"5,657,826,774.76",1.72,"5,657,826,774.76","19,831,844.00",285.29,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
GOOG,ALPHABET INC CLASS C,Communication,Equity,"5,547,197,623.44",1.69,"5,547,197,623.44","45,814,318.00",121.08,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,Equity,"5,342,092,472.35",1.63,"5,342,092,472.35","15,987,109.00",334.15,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
UNH,UNITEDHEALTH GROUP INC,Health Care,Equity,"3,960,072,362.55",1.21,"3,960,072,362.55","8,346,659.00",474.45,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
XOM,EXXON MOBIL CORP,Energy,Equity,"3,820,254,514.60",1.16,"3,820,254,514.60","36,245,299.00",105.40,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
JNJ,JOHNSON & JOHNSON,Health Care,Equity,"3,796,563,859.20",1.16,"3,796,563,859.20","23,297,520.00",162.96,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
JPM,JPMORGAN CHASE & CO,Financials,Equity,"3,630,806,181.97",1.11,"3,630,806,181.97","26,198,183.00",138.59,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
V,VISA INC CLASS A,Financials,Equity,"3,307,082,740.24",1.01,"3,307,082,740.24","14,507,294.00",227.96,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
LLY,ELI LILLY,Health Care,Equity,"3,240,004,973.70",0.99,"3,240,004,973.70","7,063,451.00",458.70,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
AVGO,BROADCOM INC,Information Technology,Equity,"3,169,370,776.20",0.96,"3,169,370,776.20","3,737,730.00",847.94,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
PG,PROCTER & GAMBLE,Consumer Staples,Equity,"3,169,306,398.82",0.96,"3,169,306,398.82","21,130,118.00",149.99,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
MA,MASTERCARD INC CLASS A,Financials,Equity,"2,852,298,006.61",0.87,"2,852,298,006.61","7,501,507.00",380.23,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
HD,HOME DEPOT INC,Consumer Discretionary,Equity,"2,782,661,456.34",0.85,"2,782,661,456.34","9,078,534.00",306.51,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
MRK,MERCK & CO INC,Health Care,Equity,"2,557,784,782.68",0.78,"2,557,784,782.68","22,747,997.00",112.44,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
CVX,CHEVRON CORP,Energy,Equity,"2,420,317,948.56",0.74,"2,420,317,948.56","15,623,018.00",154.92,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
PEP,PEPSICO INC,Consumer Staples,Equity,"2,268,869,698.70",0.69,"2,268,869,698.70","12,350,951.00",183.70,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
COST,COSTCO WHOLESALE CORP,Consumer Staples,Equity,"2,118,306,240.00",0.64,"2,118,306,240.00","3,975,800.00",532.80,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
KO,COCA-COLA,Consumer Staples,Equity,"2,111,704,509.44",0.64,"2,111,704,509.44","34,892,672.00",60.52,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
ABBV,ABBVIE INC,Health Care,Equity,"2,096,072,464.71",0.64,"2,096,072,464.71","15,818,221.00",132.51,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
ADBE,ADOBE INC,Information Technology,Equity,"1,983,857,329.74",0.6,"1,983,857,329.74","4,112,218.00",482.43,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
WMT,WALMART INC,Consumer Staples,Equity,"1,953,185,590.58",0.59,"1,953,185,590.58","12,574,426.00",155.33,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
MCD,MCDONALDS CORP,Consumer Discretionary,Equity,"1,909,515,027.62",0.58,"1,909,515,027.62","6,545,263.00",291.74,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
CSCO,CISCO SYSTEMS INC,Information Technology,Equity,"1,867,888,459.07",0.57,"1,867,888,459.07","36,718,861.00",50.87,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
CRM,SALESFORCE INC,Information Technology,Equity,"1,862,195,085.17",0.57,"1,862,195,085.17","8,776,901.00",212.17,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
PFE,PFIZER INC,Health Care,Equity,"1,836,633,198.42",0.56,"1,836,633,198.42","50,609,898.00",36.29,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
TMO,THERMO FISHER SCIENTIFIC INC,Health Care,Equity,"1,764,085,946.25",0.54,"1,764,085,946.25","3,457,975.00",510.15,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
BAC,BANK OF AMERICA CORP,Financials,Equity,"1,744,704,267.46",0.53,"1,744,704,267.46","62,155,478.00",28.07,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
NFLX,NETFLIX INC,Communication,Equity,"1,713,037,483.44",0.52,"1,713,037,483.44","3,985,291.00",429.84,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
ACN,ACCENTURE PLC CLASS A,Information Technology,Equity,"1,708,235,451.76",0.52,"1,708,235,451.76","5,661,658.00",301.72,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
ABT,ABBOTT LABORATORIES,Health Care,Equity,"1,677,594,165.75",0.51,"1,677,594,165.75","15,589,575.00",107.61,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
LIN,LINDE PLC,Materials,Equity,"1,645,824,323.52",0.5,"1,645,824,323.52","4,389,216.00",374.97,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
ORCL,ORACLE CORP,Information Technology,Equity,"1,607,652,890.79",0.49,"1,607,652,890.79","13,796,043.00",116.53,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
AMD,ADVANCED MICRO DEVICES INC,Information Technology,Equity,"1,590,503,908.55",0.48,"1,590,503,908.55","14,436,815.00",110.17,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
CMCSA,COMCAST CORP CLASS A,Communication,Equity,"1,553,819,003.91",0.47,"1,553,819,003.91","37,288,673.00",41.67,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
DIS,WALT DISNEY,Communication,Equity,"1,455,186,677.49",0.44,"1,455,186,677.49","16,381,703.00",88.83,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
TXN,TEXAS INSTRUMENT INC,Information Technology,Equity,"1,423,662,991.92",0.43,"1,423,662,991.92","8,137,077.00",174.96,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
DHR,DANAHER CORP,Health Care,Equity,"1,397,750,853.31",0.43,"1,397,750,853.31","5,953,703.00",234.77,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
VZ,VERIZON COMMUNICATIONS INC,Communication,Equity,"1,387,693,147.40",0.42,"1,387,693,147.40","37,688,570.00",36.82,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
WFC,WELLS FARGO,Financials,Equity,"1,366,396,032.48",0.42,"1,366,396,032.48","33,638,504.00",40.62,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
PM,PHILIP MORRIS INTERNATIONAL INC,Consumer Staples,Equity,"1,338,658,113.00",0.41,"1,338,658,113.00","13,915,365.00",96.20,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
NEE,NEXTERA ENERGY INC,Utilities,Equity,"1,332,192,566.88",0.41,"1,332,192,566.88","18,139,877.00",73.44,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
RTX,RAYTHEON TECHNOLOGIES CORP,Industrials,Equity,"1,255,807,745.03",0.38,"1,255,807,745.03","13,099,069.00",95.87,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
INTC,INTEL CORPORATION CORP,Information Technology,Equity,"1,255,276,933.83",0.38,"1,255,276,933.83","37,392,819.00",33.57,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
NKE,NIKE INC CLASS B,Consumer Discretionary,Equity,"1,248,489,480.41",0.38,"1,248,489,480.41","11,045,647.00",113.03,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
HON,HONEYWELL INTERNATIONAL INC,Industrials,Equity,"1,208,025,292.50",0.37,"1,208,025,292.50","5,965,557.00",202.50,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
BMY,BRISTOL MYERS SQUIBB,Health Care,Equity,"1,207,071,060.00",0.37,"1,207,071,060.00","18,834,000.00",64.09,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
LOW,LOWES COMPANIES INC,Consumer Discretionary,Equity,"1,189,660,456.16",0.36,"1,189,660,456.16","5,346,308.00",222.52,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
QCOM,QUALCOMM INC,Information Technology,Equity,"1,173,866,338.08",0.36,"1,173,866,338.08","9,986,952.00",117.54,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
INTU,INTUIT INC,Information Technology,Equity,"1,156,008,518.55",0.35,"1,156,008,518.55","2,515,085.00",459.63,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
SPGI,S&P GLOBAL INC,Financials,Equity,"1,151,264,951.52",0.35,"1,151,264,951.52","2,940,501.00",391.52,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
UPS,UNITED PARCEL SERVICE INC CLASS B,Industrials,Equity,"1,141,370,172.60",0.35,"1,141,370,172.60","6,497,610.00",175.66,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
CAT,CATERPILLAR INC,Industrials,Equity,"1,117,472,778.06",0.34,"1,117,472,778.06","4,620,138.00",241.87,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
COP,CONOCOPHILLIPS,Energy,Equity,"1,112,041,293.75",0.34,"1,112,041,293.75","10,848,125.00",102.51,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
UNP,UNION PACIFIC CORP,Industrials,Equity,"1,110,068,006.28",0.34,"1,110,068,006.28","5,465,892.00",203.09,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
AMAT,APPLIED MATERIAL INC,Information Technology,Equity,"1,091,233,933.05",0.33,"1,091,233,933.05","7,576,435.00",144.03,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology,Equity,"1,072,602,557.28",0.33,"1,072,602,557.28","8,140,578.00",131.76,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
BA,BOEING,Industrials,Equity,"1,068,279,176.64",0.33,"1,068,279,176.64","5,069,662.00",210.72,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
AMGN,AMGEN INC,Health Care,Equity,"1,060,124,252.13",0.32,"1,060,124,252.13","4,790,223.00",221.31,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
ISRG,INTUITIVE SURGICAL INC,Health Care,Equity,"1,045,992,737.84",0.32,"1,045,992,737.84","3,141,308.00",332.98,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
GE,GENERAL ELECTRIC,Industrials,Equity,"1,045,072,306.45",0.32,"1,045,072,306.45","9,762,469.00",107.05,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
MDT,MEDTRONIC PLC,Health Care,Equity,"1,030,032,214.76",0.31,"1,030,032,214.76","11,927,191.00",86.36,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
SBUX,STARBUCKS CORP,Consumer Discretionary,Equity,"1,013,712,279.15",0.31,"1,013,712,279.15","10,280,015.00",98.61,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
T,AT&T INC,Communication,Equity,"1,011,347,206.32",0.31,"1,011,347,206.32","64,090,444.00",15.78,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
NOW,SERVICENOW INC,Information Technology,Equity,"1,002,157,825.74",0.31,"1,002,157,825.74","1,826,522.00",548.67,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
PLD,PROLOGIS REIT INC,Real Estate,Equity,"998,426,053.80",0.3,"998,426,053.80","8,278,823.00",120.60,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
MS,MORGAN STANLEY,Financials,Equity,"980,880,658.59",0.3,"980,880,658.59","11,678,541.00",83.99,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
DE,DEERE,Industrials,Equity,"979,539,394.40",0.3,"979,539,394.40","2,417,422.00",405.20,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
GS,GOLDMAN SACHS GROUP INC,Financials,Equity,"934,826,931.78",0.28,"934,826,931.78","2,980,383.00",313.66,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
ELV,ELEVANCE HEALTH INC,Health Care,Equity,"928,945,734.89",0.28,"928,945,734.89","2,125,199.00",437.11,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
BLK,BLACKROCK INC,Financials,Equity,"919,992,817.28",0.28,"919,992,817.28","1,342,624.00",685.22,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
SYK,STRYKER CORP,Health Care,Equity,"909,474,251.12",0.28,"909,474,251.12","3,028,754.00",300.28,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
LMT,LOCKHEED MARTIN CORP,Industrials,Equity,"908,609,975.60",0.28,"908,609,975.60","2,020,660.00",449.66,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
AXP,AMERICAN EXPRESS,Financials,Equity,"905,012,629.56",0.28,"905,012,629.56","5,330,502.00",169.78,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,Consumer Staples,Equity,"893,939,611.88",0.27,"893,939,611.88","12,208,954.00",73.22,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
BKNG,BOOKING HOLDINGS INC,Consumer Discretionary,Equity,"882,894,881.70",0.27,"882,894,881.70","331,110.00","2,666.47",United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
ADI,ANALOG DEVICES INC,Information Technology,Equity,"861,186,245.40",0.26,"861,186,245.40","4,534,946.00",189.90,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
TJX,TJX INC,Consumer Discretionary,Equity,"853,306,123.44",0.26,"853,306,123.44","10,323,084.00",82.66,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
GILD,GILEAD SCIENCES INC,Health Care,Equity,"851,879,726.62",0.26,"851,879,726.62","11,182,459.00",76.18,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
MMC,MARSH & MCLENNAN INC,Financials,Equity,"813,096,416.16",0.25,"813,096,416.16","4,435,152.00",183.33,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
VRTX,VERTEX PHARMACEUTICALS INC,Health Care,Equity,"809,930,323.98",0.25,"809,930,323.98","2,308,941.00",350.78,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
C,CITIGROUP INC,Financials,Equity,"806,830,554.36",0.25,"806,830,554.36","17,452,532.00",46.23,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-28
