Ticker,Description,Price,Change %,Change,Technical Rating,Volume,Volume*Price,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector,Industry,1-Month High,1-Month Low,1-Year Beta,3-Month High,3-Month Low,3-Month Performance,5Y Performance,6-Month High,6-Month Low,6-Month Performance,52 Week High,52 Week Low,All Time High,All Time Low,Average Volume (10 day),Average Volume (30 day),Average Volume (60 day),Average Volume (90 day),Cash and short term investments (FY),Cash and short term investments (MRQ),Cash & Equivalents (FY),Cash & Equivalents (MRQ),"Change 1M, %","Change 1W, %",Country,Debt to Equity Ratio (MRQ),Current Ratio (MRQ),Dividends per share (Annual YoY Growth),Dividends per Share (FY),Dividends per Share (MRQ),Dividend Yield Forward,EBITDA (Annual YoY Growth),EBITDA (Quarterly QoQ Growth),EBITDA (Quarterly YoY Growth),EBITDA (TTM),EBITDA (TTM YoY Growth),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ),EPS Diluted (Annual YoY Growth),EPS Diluted (FY),EPS Diluted (MRQ),EPS Diluted (Quarterly QoQ Growth),EPS Diluted (Quarterly YoY Growth),EPS Diluted (TTM),EPS Diluted (TTM YoY Growth),EPS Forecast (MRQ),Exponential Moving Average (5),Exponential Moving Average (20),Exponential Moving Average (30),Exponential Moving Average (100),Free Cash Flow (Annual YoY Growth),Free Cash Flow Margin (FY),Free Cash Flow Margin (TTM),Free Cash Flow (Quarterly QoQ Growth),Free Cash Flow (Quarterly YoY Growth),Free Cash Flow (TTM YoY Growth),Gross Margin (FY),Gross Margin (TTM),Gross Profit (Annual YoY Growth),Gross Profit (FY),Gross Profit (MRQ),Gross Profit (Quarterly QoQ Growth),Gross Profit (Quarterly YoY Growth),Gross Profit (TTM YoY Growth),Money Flow (14),Net Debt (MRQ),Net Income (Annual YoY Growth),Net Income (FY),Net Income (Quarterly QoQ Growth),Net Income (Quarterly YoY Growth),Net Income (TTM YoY Growth),Net Margin (FY),Net Margin (TTM),Operating Margin (FY),Operating Margin (TTM),Price to Book (FY),Price to Book (MRQ),Price to Free Cash Flow (TTM),Price to Revenue Ratio (TTM),Price to Sales (FY),Quick Ratio (MRQ),Recent Earnings Date,Relative Strength Index (7),Relative Strength Index (14),Research & development Ratio (FY),Research & development Ratio (TTM),Return on Assets (TTM),Return on Equity (TTM),Return on Invested Capital (TTM),Revenue (Annual YoY Growth),Revenue per Employee (FY),Revenue (Quarterly QoQ Growth),Revenue (Quarterly YoY Growth),Revenue (TTM YoY Growth),Shares Float,Simple Moving Average (5),Simple Moving Average (10),Simple Moving Average (30),Simple Moving Average (100),Total Assets (Annual YoY Growth),Total Assets (MRQ),Total Assets (Quarterly QoQ Growth),Total Assets (Quarterly YoY Growth),Total Debt (Annual YoY Growth),Total Current Assets (MRQ),Total Debt (MRQ),Total Debt (Quarterly QoQ Growth),Total Debt (Quarterly YoY Growth),Total Liabilities (FY),Total Liabilities (MRQ),Total Revenue (FY),Total Shares Outstanding,Upcoming Earnings Date,Volatility,Volatility Month,Volatility Week,Volume Weighted Average Price,Volume Weighted Moving Average (20),YTD Performance,Weekly Performance,Yearly Performance,Simple Moving Average (20),Simple Moving Average (50),Simple Moving Average (200),Pretax Margin (TTM),Dividends Paid (FY),Exponential Moving Average (50),Exponential Moving Average (10),Basic EPS (FY),Monthly Performance,Change from Open %
700,TENCENT HOLDINGS LIMITED,333,0.06009916,0.20001,Sell,11843920,3944025360,3160546250977,15.09396332,22.5115,108436,Technology Services,Internet Software/Services,354.79999,320,1.5450186,364.39999,306,-5.71914197,-3.41497918,416.60001,306,-14.61538462,416.60001,188.6259214,714.89894419,0.62225247,19609046.2,18308469.16666667,19068045.16666667,20487583.02222222,328133045434.93,391005040229.341,179101692233.554,179577237556.117,0.42219239,-5.55870943,China,0.46511741,1.52765822,50,2.4,0,0.72072077,-8.60666835,24.73821604,28.17864337,203814063530,3.77010345,15.97046749,3820130000000,-19.20287132,22.579,3.83271464,-74.93949541,2.30764025,22.0618,-11.9479234,4.0778733,335.43604798,337.03717452,337.52845164,339.73076447,-17.88497536,22.49888198,,,,,41.96270142,42.68982561,-6.72124506,270607571038.17795,75778327607.9552,11.51984581,12.53583734,3.43231559,54.78013797,22618219256.8233,-19.21119444,218903680603.94,-74.65758425,2.83659501,-11.90841122,33.94505835,32.9282684,18.54127296,20.54512814,3.9014519,3.55339141,,4.9426648,5.00628469,1.52116651,2023-05-17,43.15812713,46.57499333,11.07218079,10.75560322,11.97558768,23.16502234,16.48341283,-4.47129176,5947069.51927378,7.84801184,3.1692435,-4.27372388,6200395462.253181,337.559998,336.679997,339.466665,345.9179996,-10.16650673,1733156462917.56,-2.18271225,-6.0485693,1.90165872,541670938837.431,413623259486.164,2.57956706,-1.17807397,892882372865.63,772027220959.421,644876430391.9719,9494780443,2023-08-16,1.93353172,2.38111025,3.10393385,333.79999667,336.34717884,4.97252855,-6.14430401,4.65917772,335.9399985,335.9,322.39624412,39.662234,-15061598418.970299,339.06570963,336.47769861,22.9748,-2.51756726,0.06009916
1299,AIA GROUP LIMITED,78.599998,1.55038239,1.199996,Sell,17917630,1408325682.16474,905477048437,397.17027792,0.1979,,Finance,Multi-Line Insurance,81.699997,76.349998,1.0468708,86.800003,74.849998,-6.14925612,13.99565108,90.650002,74.849998,-10.17143086,93.650002,57.25,109.3,19.84,17864467.6,18139742.66666667,18432141,20018175.67777778,,,62595699000,62595699000,-0.63211127,-2.36025093,Hong Kong,0.35040424,1.22661678,5.26027397,1.5368,,1.9552164,,,,,,,,-96.12654676,0.185,0.54640543,,,0.1979,-94.66562441,2.1948734,78.60094192,79.05876688,79.30912697,80.48457078,166.95101461,22.0662347,22.08002915,,,305.00065598,,,,,,,,,49.44136808,41592578550,-96.17488055,2208197939.53681,,,-95.05762289,0.67674586,0.67882964,4.39164867,4.39605477,3.10540839,3.10540839,12.81641687,2.82986858,2.87568768,,2023-03-09,47.93767857,47.73180451,,,0.08974388,0.57624101,0.47239265,-7.05192092,,,,-1.28485711,11505488259.5495,78.9300004,78.4950005,79.76000037,81.20749994,-10.93708875,2325297533700,,,14.70097609,125386521750,104188277550,,,2024416711200,2024416711200,326296482767.726,11517339602,2023-08-25,2.45954951,1.98540666,2.13890934,78.33333333,78.69337788,-9.2378755,-3.73546102,-0.75757452,78.88000035,79.35399994,79.50874997,1.25792301,-17689074983.7363,79.81616821,78.78745364,0.1851,-1.50376561,1.74757023
3690,MEITUAN,128.2,1.18389897,1.5,Buy,14407358,1847023295.6,802548914537,295.73241061,0.4335,92046,Transportation,Air Freight/Couriers,137.39999,117.3,1.6953282,141,109.2,-8.42857143,73.24324324,185,109.2,-21.78156936,195.60001,109.2,460,40.25,21222386.5,22953561.3,25759797.13333334,28838703.52222222,142180930723.586,142381200160.284,39031157475.8189,45810751655.2748,4.82420278,-3.24528302,China,0.42974439,1.82867249,,0,0,,,294.00085281,,9573013290,,75.8365207,819075000000,73.12178096,-1.2629,1.01454917,,,0.4335,,0.64948951,128.05308426,127.00588145,127.09141127,133.64557666,,3.34292502,,,,,26.86878724,30.51560407,42.16123475,68725202589.991,22703282496.2368,21.98172848,71.94010843,45.10946645,62.17899547,-76501340255.4622,72.59258192,-7775131547.642179,,,,-3.0397634,1.02662048,-4.14672554,-0.49901163,5.49188811,5.2194808,,3.01495659,3.08574935,1.81521367,2023-05-25,53.09742142,51.72721037,9.14176207,9.01291693,0.95489735,1.7991761,1.34199204,18.47901232,2778836.81578248,1.60969988,18.0552051,16.11822525,4264851965,128.840002,126.830002,127.43000067,130.7240001,-6.75790586,285600437329.394,4.04813746,0.19232174,-9.51296421,160635034103,65879859904.8218,1.01594793,-13.89582603,129985729188.724,132363886716.023,255780813545.514,6260129783,2023-08-25,2.53968254,3.14098223,3.14421041,127.8,126.5921241,-25.89595376,-6.62782229,-33.81517811,125.820001,126.9300004,145.54650005,1.05484034,0,128.26123096,127.520725,-1.2629,-0.62015504,1.74603175
9633,NONGFU SPRING CO LTD,43.150002,0.93567719,0.400002,Buy,1208494,52146518.516988,485285046804,48.88410785,0.8827,20000,Consumer Non-Durables,Beverages: Non-Alcoholic,44.400002,41.900002,0.3625589,44.450001,40.849998,1.52941647,8.41709318,46.700001,40.849998,0.34884186,48.650002,38,68.75,31,2125371.5,2824921.8,3477477.73333333,3786060.41111111,17081604120.466902,17081604120.466902,17081604120.466902,17081604120.466902,-0.23120925,-1.70842817,China,0.10483898,1.2575126,45.36804546,0.77,,1.7844727,4.13739368,,,13934786400,43.30760179,33.80305165,,14.48859935,0.8787,0.37903559,,,0.8827,67.65432099,0.49710433,43.11375357,43.09003656,43.03099658,43.12275466,-16.54074519,23.29559987,22.44211576,,,21.94349947,57.42217462,57.488837,4.35177364,22195465435.9032,,,,46.80980974,47.25765843,-14246742359.674599,14.45255645,9878941010.5588,,,67.62078605,25.55793558,25.63872525,28.39899484,28.53935771,17.94044604,17.94044604,55.83374798,12.53027435,12.55042649,,2023-03-28,50.52997093,50.90140804,0.83385313,0.82711088,23.54567467,37.87674075,37.81326864,7.99848403,1932656.29388148,,,50.60729506,1773146400.47534,43.2400012,43,43.11166677,43.23949991,9.52346929,44072970821.95001,,,-10.52760818,20615164798.675102,2834861760.7923203,,,16705632256.5344,16705632256.5344,38653125877.6296,11242487784,2023-08-23,1.8801387,1.92526473,2.05073506,43.01666633,43.08441159,0.34884186,-0.91847763,-6.29749634,43.0875,42.69400012,43.34449986,33.36651369,-5883138022.71342,42.99449144,43.12758319,0.8787,-2.04312604,0.93567719
89618,JD.COM INC,133.3,1.52322925,2,Strong Buy,2250,299925,391403039490.793,21.58599582,7.16613444,450679,Retail Trade,Internet Retail,139.7,122,1.2661561,141.39999,122,-6.97836706,-6.97836706,141.39999,122,-6.97836706,141.39999,122,143.39999,122,12785,,,,255945304500,232283254700,96303366749.99979,92325763899.99988,8.28594639,-2.70072993,China,0.31239303,1.36102078,,,,,156.88064091,18.80816572,93.94756187,33622260980,181.68007889,9.22452837,,,3.69214764,,106.36201656,,7.05880017,,,132.46508537,130.39336593,,,66.46405808,3.76941723,,,,,13.89562202,14.09192815,13.95370711,164491332449.99548,40661286039.99886,-13.44801577,7.61783748,12.15175657,79.77642744,-156757190590,,11744451000,106.49736148,,,0.99212797,1.8705391,1.7533329,2.08568159,1.72203756,1.73326428,,0.40388667,0.40527388,1.06566569,,53.91815134,44.86158312,1.58874288,1.55992595,3.69292932,9.39339132,7.99444559,9.94585915,2626622.76742426,-17.76636001,1.37739667,6.22080963,,133.02,131.240001,,,19.88753431,629872720519.9988,-7.42780344,7.58534514,88.68389754,348767803050,75526064109.9999,1.58044431,24.30718868,363339144149.9989,316665825169.9989,1183763722200,2687430000,,1.88964475,2.74057533,1.95672581,133.13333333,129.30893571,-6.97836706,-4.03167056,-6.97836706,129.0800005,,,2.49576718,-14807286150,,131.74830264,3.75754545,-1.33235371,-0.37369208
388,HONG KONG EXCHANGES & CLEARING,297,0.81466053,2.39999,Neutral,1650874,490309578,375757895874,34.76652581,8.5486,2380,Finance,Investment Banks/Brokers,306.20001,280,1.3834103,334.60001,280,-11.60714286,27.68701085,378,280,-18.09156321,382.39999,208.2,587,7.6,3862078.2,3458822.76666667,3577368,3627902.64444444,276369979000,265072000000,184945979000,173681000000,0.60975269,-1.45985075,Hong Kong,0.04498348,,-19.50394589,7.14,,2.4040403,-18.62224663,10.77405858,21.16704805,14059000000,-6.49773876,8.05739355,178144000000,-19.61067853,7.9497,2.69,14.40465571,27.74273111,8.5427,-4.64246646,2.382401,295.95280939,296.99029903,299.14350123,311.71702963,2.1979086,171.57022107,,,,,87.17490247,87.56986131,-14.09578728,16089000000,4958000000,8.3715847,20.19393939,-2.95348971,55.86814458,-262880000000,-19.60111687,10078000000,14.40080564,27.73613193,-4.79626859,54.60554833,55.9821983,64.35847421,65.1469675,7.55777307,7.71271513,,19.44902305,20.40063004,,2023-04-26,52.65936989,48.47879297,,,2.1588096,22.59492878,21.85476621,-11.90453461,7754621.8487395,6.8640646,18.50746269,-1.82889657,1190150628.35904,296.8,292.900003,300.74000167,317.0260001,1.68969006,379496000000,-6.53981889,-39.05861836,-10.02012072,,2192000000,-1.96779964,-9.00788709,355952000000,330366000000,18456000000,1265433817,2023-08-16,1.70532054,2.13335303,1.96567492,296.13334,294.68874199,-10.1633421,-2.43100862,-17.6372735,295.8100015,301.6639998,312.81,63.72386669,-9665000000,303.78994108,295.57537454,7.9637,-2.68676597,1.08917975
16,SUN HUNG KAI PROPERTIES LTD,97.75,1.08583561,1.050003,Neutral,1754625,171514593.75,283258021729,15.0804548,6.4819,40500,Finance,Real Estate Development,100.2,92.150002,0.487195,111.1,92.150002,-8.98510242,-16.8792517,115.9,92.150002,-11.53846154,115.9,83.099998,175.39999,33.599998,3114696.3,2668450.96666667,2686769.5,2785280.44444444,21021000000,18526000000,18332000000,15736000000,-0.96250965,0.30785327,Hong Kong,0.22300402,,0,4.95,,5.063938,-8.6512003,,,31879000000,-29.86227229,12.61755456,,-4.21973917,8.8205,3.27,,,6.4819,-13.35979897,5.64,96.84999023,97.65229229,98.59113682,102.04510661,-10.31827112,14.53795001,23.4417635,,,,51.63698438,52.31474385,-9.37262442,40534000000,,,,-28.75216602,41.07230481,114177000000,-4.21944091,25560000000,,,-13.35793358,32.56133914,28.79480026,42.61764631,41.86773768,0.47060616,0.476044,18.52328157,4.34218386,3.60847438,,2023-02-23,55.465223,47.97587943,,,2.33333354,3.14154952,2.67419686,-7.90943219,1938222.22222222,,,-28.22989669,1670361529.84,96.669998,96.2299986,98.82333277,104.15299983,1.3997657,801750000000,,,6.8831782,,132703000000,,,200823000000,201880000000,78498000000,2897780000,2023-09-07,1.82007277,1.91653488,2.00715862,97.266668,96.90377116,-8.04327375,0.56584673,6.36561248,97.22999915,100.49599966,101.59274982,32.59649876,-14344000000,100.22260269,96.87303366,8.8205,-3.02579365,1.08583561
1810,XIAOMI CORPORATION,11.28,1.98915009,0.22,Buy,37258049,420270792.72,282473012393,34.31700639,0.3303,32543,Electronic Technology,Telecommunications Equipment,11.64,9.86,1.1516278,11.64,9.86,-5.21008403,-43.25955449,14.1,9.86,-2.42214533,14.1,8.31,35.900002,8.28,52318922.1,61222649.73333333,58332500.53333333,63274245.33333334,80538359189.3134,86207954761.19969,35438210600.666,34732543202.44911,5.2238806,-1.74216028,China,0.15168117,1.99714751,,0,0,,-60.61617096,591.79294314,,9786061250,,22.70965574,241431000000,-87.55609062,0.1137,0.19432195,40.71376548,,0.3287,-36.43395862,0.10236999,11.20037632,11.03965668,10.99910243,11.1773817,-400.25578853,-3.4391308,,,,,16.18123881,17.45060336,-22.40106392,52695349919.8489,13279556762.549,6.19080919,-15.01326635,-25.93620977,74.79534759,-60546318165.5886,-87.65659729,2876995547.9065104,39.04350481,,-37.62734459,0.88344327,2.70245909,1.97042882,1.80217858,1.74356866,1.66225315,,0.92295349,0.87624221,1.43675546,2023-05-24,58.07373243,55.81060887,5.18515704,6.2372279,2.49592577,4.87881775,4.25868632,-17.69722555,10006977.8647874,-6.13879138,-24.44088167,-22.64013589,16302499510.701,11.236,11.116,10.90233333,11.3147,-14.29230922,301801790104.324,-1.71801324,-15.70273804,-19.0094593,173409218321.755,25661636595.6111,-12.28066416,-30.0502091,145489278787.556,132308978132.941,325657080653.775,25025957425,2023-08-23,2.7124774,2.98576333,2.80810962,11.23333333,10.93389307,3.10786106,-2.75862069,-13.89312977,10.9475,10.8682,11.04475,3.78180449,0,11.03026418,11.14412945,0.1159,8.25335893,0.71428571
2015,LI AUTO INC,144.8,0.34650035,0.5,Buy,4040994,585135931.2,282131945228,,-0.6599,19396,Consumer Durables,Motor Vehicles,150,130.8,1.6580961,150,86.800003,60.35436898,22.71186441,150,80.099998,73.10220746,150,52.049999,165.3,52.049999,5280092,5949461.06666667,6495079.35,7355255.41111111,65623637194.8372,74248195501.16779,45379073073.0757,51730276623.4056,6.86346863,0.55555556,China,0.26102534,2.16443608,,0,0,,-451.68769392,17.4939199,,,,,146207000000,-476.74641148,-1.2054,0.759814,274.53737972,,-0.7072,-33576.19047619,0.964958,144.85305924,140.30715939,136.30705135,116.99632798,-48.25430071,4.97356008,,,,,19.10836258,20.49809366,48.44901665,10063046723.969301,4387854552.6743,11.93883156,64.94095234,43.00633442,62.26658483,-60442585071.9384,-503.98389086,-2339960952.95154,277.1300752,,-3458.11522166,-4.44326888,-2.03966385,-8.07050997,-5.43028251,5.61883209,5.35055562,,4.91712795,5.33752305,1.97892632,2023-05-10,57.80029818,61.60969643,14.85183237,13.31529999,-1.34046953,-2.42949431,-1.99701576,61.77891395,2715150.08135198,10.94524045,83.08558236,54.55608568,1030767984.6610898,145.28,143.569999,137.19333433,110.48800016,28.42005945,107393626254.706,10.53321334,32.20628164,11.14589184,83466959006.5557,13805610429.2294,0.26075794,21.87937006,46427134922.0766,54124704142.3198,52663050977.903,1954357998,2023-08-28,3.30288124,3.65399702,3.0325852,144.7,141.40435034,87.4433657,-0.13793103,2.33215548,140.810001,128.0100006,96.18000016,-2.28292934,0,128.94607035,143.76411766,-1.2054,9.61392054,0
1024,KUAISHOU TECHNOLOGY,59.75,4.8245614,2.75,Strong Buy,22698898,1356259155.5,259091546613,,-2.2436,25445,Technology Services,Information Technology Services,61,50.650002,2.079789,62,47.450001,23.06900356,-82.32248521,74,47.450001,-13.21713619,86.199997,31.75,417.79999,31.75,20063147.7,18690277.53333334,19506863.2,20779502.07777778,39817619837.6512,40283276963.2632,14969534149.6325,14612740441.0748,11.5779666,0.25168122,China,0.29297022,1.15303171,,0,0,,72.67728948,171.85712197,,-2001851570,91.04675109,,233015000000,83.18816622,-3.7426,-0.22861406,41.06463878,87.22527473,-2.2436,70.93255254,0.21939592,58.14201306,56.64657647,56.2834143,56.38973975,83.07875776,-2.46351759,,,,,44.32167043,45.82266851,19.18265962,48542335102.6757,13417527483.8142,-5.19689478,24.27741018,18.27466976,72.02798162,-26986505642.585403,83.08027176,-15920653755.8482,41.18424749,86.99303689,70.28408175,-14.53638288,-8.53382723,-13.47914425,-8.68183202,5.75878082,5.70326236,,2.29012943,2.32069676,1.15303171,2023-05-22,64.25625861,58.84367553,14.40509525,13.43270064,-9.44311511,-20.08608201,-16.56063142,12.07780845,4304295.59659505,-7.09971762,11.54323646,8.60826766,2493162737.2200003,58.2900002,56.7049999,56.71166693,54.55349988,-11.40049047,97787243587.9712,-2.47494592,-6.89630933,-12.76853935,49636710259.97369,13296771320.677801,-8.43360416,-13.13963376,55541397086.1804,52395447608.7225,109522801455.361,4336257001,2023-08-23,5.43382656,3.85777664,4.81142279,58.96666567,56.41162111,-15.54770318,-1.15798344,-26.41625344,55.8825001,55.4950001,56.65324992,-7.5411522,0,55.90888425,57.33106737,-3.7426,7.56075801,4.73269246
