LongShortCouponFirstIntPmt,PrimaryDealerTendered,PrimaryDealerAccepted,DirectBidderTendered,DirectBidderAccepted,IndirectBidderTendered,IndirectBidderAccepted,CompetitiveTendered,CompetitiveAccepted,NonCompetitiveAccepted,SOMATendered,SOMAAccepted,FIMATendered,FIMAAccepted,TotalTendered,TotalAccepted,BidToCoverRatio,ReleaseTime,AmountAcceptedBelowLowRate,HighAllocationPercentage,LowDiscountRate,HighDiscountRate,MedianDiscountRate,LowYield,HighYield,MedianYield,LowPrice,HighPrice ,MedianPrice,TIINConversionFactor,AccruedInterest,StandardInterestPayment,InterestRate,OriginalCUSIP,UnadjustedPrice,UnadjustedAccruedInterest,TreasuryDirectAccepted,InvestmentRate,AdjustedPrice,AdjustedAccruedInterest,IndexRatio,ResultsPDFName  ,CUSIP    ,Date    ,LowDiscountMargin,HighDiscountMargin,MedianDiscountMargin,Spread,FRNIndexDeterminationDate,FRNIndexDeterminationRate,HighPrice,ResultsPDFName,CUSIP,Date,TreasuryRetailAccepted
                          ,12569900000,5309357200,20000000,5000000,4899070000,2574250000,17488970000,7888607200,111415200,733817500,733817500,0,0,18334202700,8733839900,2.2,13:01      ,5,99.07,               ,                ,                  ,0.5     ,0.745    ,0.71       ,        ,99.5609,           ,1.4784776           ,               ,                       ,0.625       ,             ,99.416746      ,0.25615                  ,53388700.0,              ,99.5609      ,0.25652                ,1.00145   ,R_20080422_2.pdf,912828HW3,20080422.0,                 ,                  ,                    ,      ,                         ,,,,,,
                          ,52638000000,19370870000,286000000,161000000,12737000000,9897000000,65661000000,29428870000,546207900,2751815900,2751815900,25000000,25000000,68984023800,32751893800,2.21,13:01      ,5,50.99,               ,                ,                  ,2.147   ,2.225    ,2.19       ,        ,99.805441,           ,                    ,               ,10.625                 ,2.125       ,             ,               ,                         ,451301900.0,              ,             ,                       ,          ,R_20080423_1.pdf,912828HX1,20080423.0,                 ,                  ,                    ,      ,                         ,,,,,,
                          ,25810000000,13429350000,34000000,34000000,5462500000,5462500000,31306500000,18925850000,49155700,1742816600,1742816600,25000000,25000000,33123472300,20742822300,1.65,13:01      ,5,83.87,               ,                ,                  ,3.02    ,3.159    ,3.09       ,        ,99.843881,           ,                    ,               ,15.625                 ,3.125       ,             ,               ,                         ,37749700.0,              ,             ,                       ,          ,R_20080424_1.pdf,912828HY9,20080424.0,                 ,                  ,                    ,      ,                         ,,,,,,
                          ,44425000000,9471120000,980000000,324257000,11017775000,8037567900,56422775000,17832944900,1266753800,0,0,900400000,900400000,58589928800,20000098700,2.93,13:01      ,5,92.57,1.6            ,1.7             ,1.66              ,        ,         ,           ,        ,99.140556,           ,                    ,               ,                       ,            ,             ,               ,                         ,988083300.0,1.739         ,             ,                       ,          ,R_20080428_1.pdf,912795H46,20080428.0,                 ,                  ,                    ,      ,                         ,,,,,,
                          ,49570000000,12580986500,420000000,370000000,5981983000,4653123000,55971983000,17604109500,1613417700,0,0,782500000,782500000,58367900700,20000027200,2.92,13:01      ,5,67.69,1.28           ,1.42            ,1.35              ,        ,         ,           ,        ,99.641056,           ,                    ,               ,                       ,            ,             ,               ,                         ,1349768700.0,1.445         ,             ,                       ,          ,R_20080428_2.pdf,912795F71,20080428.0,                 ,                  ,                    ,      ,                         ,,,,,,
                          ,42116500000,8658020000,530000000,305000000,6577000000,4477000000,49223500000,13440020000,313697600,0,0,246300000,246300000,49783497600,14000017600,3.56,13:01      ,5,40.42,1.0            ,1.25            ,1.18              ,        ,         ,           ,        ,99.902778,           ,                    ,               ,                       ,            ,             ,               ,                         ,128794700.0,1.269         ,             ,                       ,          ,R_20080429_1.pdf,912795E64,20080429.0,                 ,                  ,                    ,      ,                         ,,,,,,
                          ,47318000000,15224780000,275000000,275000000,5547015000,4782015000,53140015000,20281795000,1618266600,0,0,100000000,100000000,54858281600,22000061600,2.49,13:01      ,5,44.12,1.45           ,1.61            ,1.54              ,        ,         ,           ,        ,99.593028,           ,                    ,               ,                       ,            ,             ,               ,                         ,1285292600.0,1.639         ,             ,                       ,          ,R_20080505_1.pdf,912795F89,20080505.0,                 ,                  ,                    ,      ,                         ,,,,,,
                          ,45035000000,13877440000,94000000,94000000,7857000000,5683402500,52986000000,19654842500,1220226800,0,0,125000000,125000000,54331226800,21000069300,2.59,13:01      ,5,81.87,1.62           ,1.74            ,1.69              ,        ,         ,           ,        ,99.120333,           ,                    ,               ,                       ,            ,             ,               ,                         ,916583800.0,1.78          ,             ,                       ,          ,R_20080505_2.pdf,912795H53,20080505.0,                 ,                  ,                    ,      ,                         ,,,,,,
                          ,60586000000,15208200000,525000000,325000000,10579700000,8104700000,71690700000,23637900000,362109100,0,0,0,0,72052809100,24000009100,3.0,13:01      ,5,6.44,1.35           ,1.55            ,1.47              ,        ,         ,           ,        ,99.879444,           ,                    ,               ,                       ,            ,             ,               ,                         ,165945100.0,1.573         ,             ,                       ,          ,R_20080506_1.pdf,912795E72,20080506.0,                 ,                  ,                    ,      ,                         ,,,,,,
                          ,28302000000,10423056500,132110000,127110000,4376000000,4176000000,32810110000,14726166500,148836300,8076923000,8076923000,125000000,125000000,41160869300,23076925800,2.21,13:01      ,5,39.63,               ,                ,                  ,3.82    ,3.937    ,3.883      ,        ,99.491561,           ,                    ,               ,19.375                 ,3.875       ,             ,               ,                         ,131759300.0,              ,             ,                       ,          ,R_20080507_1.pdf,912828HZ6,20080507.0,                 ,                  ,                    ,      ,                         ,,,,,,
