Accrual Date,Asset Class,Currency,Exchange,FX Rate,Location,Market Currency,Market Value,Name,Notional Value,Price,Sector,Shares,Ticker,Type,Weight (%),as_of_date,etf_name,etf_ticker
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"1,951,105,939.84",WALMART INC,"1,951,105,939.84",153.49,Consumer Staples,"12,711,616.00",WMT,,0.58,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"1,932,729,014.90",MCDONALDS CORP,"1,932,729,014.90",292.10,Consumer Discretionary,"6,616,669.00",MCD,,0.58,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"1,892,721,877.28",CISCO SYSTEMS INC,"1,892,721,877.28",50.99,Information Technology,"37,119,472.00",CSCO,,0.57,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"1,859,619,342.27",SALESFORCE INC,"1,859,619,342.27",209.59,Information Technology,"8,872,653.00",CRM,,0.56,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"1,817,788,631.34",PFIZER INC,"1,817,788,631.34",35.53,Health Care,"51,162,078.00",PFE,,0.54,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"1,795,844,933.54",THERMO FISHER SCIENTIFIC INC,"1,795,844,933.54",513.73,Health Care,"3,495,698.00",TMO,,0.54,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"1,792,642,978.89",BANK OF AMERICA CORP,"1,792,642,978.89",28.53,Financials,"62,833,613.00",BAC,,0.54,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"1,765,004,137.00",NETFLIX INC,"1,765,004,137.00",438.10,Communication,"4,028,770.00",NFLX,,0.53,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"1,749,994,428.00",ACCENTURE PLC CLASS A,"1,749,994,428.00",305.76,Information Technology,"5,723,425.00",ACN,,0.52,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"1,676,040,266.40",ABBOTT LABORATORIES,"1,676,040,266.40",106.35,Health Care,"15,759,664.00",ABT,,0.5,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"1,651,640,212.93",ADVANCED MICRO DEVICES INC,"1,651,640,212.93",113.17,Information Technology,"14,594,329.00",AMD,,0.5,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"1,617,367,685.51",LINDE PLC,"1,617,367,685.51",364.51,Materials,"4,437,101.00",LIN,,0.48,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"1,598,416,273.09",ORACLE CORP,"1,598,416,273.09",114.61,Information Technology,"13,946,569.00",ORCL,,0.48,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"1,561,724,606.43",COMCAST CORP CLASS A,"1,561,724,606.43",41.43,Communication,"37,695,501.00",CMCSA,,0.47,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"1,467,916,692.48",WALT DISNEY,"1,467,916,692.48",88.64,Communication,"16,560,432.00",DIS,,0.44,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"1,454,415,919.32",WELLS FARGO,"1,454,415,919.32",42.77,Financials,"34,005,516.00",WFC,,0.44,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"1,428,830,666.10",TEXAS INSTRUMENT INC,"1,428,830,666.10",173.70,Information Technology,"8,225,853.00",TXN,,0.43,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"1,402,829,972.04",DANAHER CORP,"1,402,829,972.04",233.08,Health Care,"6,018,663.00",DHR,,0.42,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"1,374,364,756.10",PHILIP MORRIS INTERNATIONAL INC,"1,374,364,756.10",97.70,Consumer Staples,"14,067,193.00",PM,,0.41,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"1,367,781,850.70",VERIZON COMMUNICATIONS INC,"1,367,781,850.70",35.90,Communication,"38,099,773.00",VZ,,0.41,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"1,321,238,057.70",NEXTERA ENERGY INC,"1,321,238,057.70",72.05,Utilities,"18,337,794.00",NEE,,0.4,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"1,290,033,983.86",RAYTHEON TECHNOLOGIES CORP,"1,290,033,983.86",97.42,Industrials,"13,241,983.00",RTX,,0.39,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"1,225,788,496.18",HONEYWELL INTERNATIONAL INC,"1,225,788,496.18",203.26,Industrials,"6,030,643.00",HON,,0.37,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"1,203,954,970.40",INTEL CORPORATION CORP,"1,203,954,970.40",31.85,Information Technology,"37,800,784.00",INTC,,0.36,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"1,199,504,248.02",LOWES COMPANIES INC,"1,199,504,248.02",221.94,Consumer Discretionary,"5,404,633.00",LOW,,0.36,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"1,192,823,296.70",BRISTOL MYERS SQUIBB,"1,192,823,296.70",62.65,Health Care,"19,039,478.00",BMY,,0.36,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"1,180,755,177.84",UNITED PARCEL SERVICE INC CLASS B,"1,180,755,177.84",179.76,Industrials,"6,568,509.00",UPS,,0.35,2023-07-07,iShares Core S&P 500 ETF,ivv
