Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date,etf_name,etf_ticker,as_of_date
MLYS,MINERALYS THERAPEUTICS INC,Health Care,Equity,"499,445.78",0.0,"499,445.78","31,274.00",15.97,United States,NASDAQ,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
BGXX,BRIGHT GREEN CORP,Health Care,Equity,"495,987.00",0.0,"495,987.00","495,987.00",1.00,United States,NASDAQ,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
GTN,GRAY TELEVISION INC,Communication,Equity,"487,264.32",0.0,"487,264.32","60,832.00",8.01,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
ENTA,ENANTA PHARMACEUTICALS INC,Health Care,Equity,"486,284.62",0.0,"486,284.62","21,974.00",22.13,United States,NASDAQ,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
LVOX,LIVEVOX HOLDING INC CLASS A,Information Technology,Equity,"485,085.51",0.0,"485,085.51","177,687.00",2.73,United States,NASDAQ,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
EVGO,EVGO INC CLASS A,Consumer Discretionary,Equity,"482,634.25",0.0,"482,634.25","113,561.00",4.25,United States,NASDAQ,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
FSBW,FS BANCORP INC,Financials,Equity,"476,959.00",0.0,"476,959.00","15,638.00",30.50,United States,NASDAQ,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
WRLD,WORLD ACCEPTANCE CORP,Financials,Equity,"461,802.60",0.0,"461,802.60","3,420.00",135.03,United States,NASDAQ,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
PLBC,PLUMAS BANCORP,Financials,Equity,"453,448.58",0.0,"453,448.58","12,547.00",36.14,United States,NASDAQ,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
BHRB,BURKE HERBERT FINANCIAL SERVICES T,Financials,Equity,"450,891.00",0.0,"450,891.00","7,157.00",63.00,United States,NASDAQ,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
INVA,INNOVIVA INC,Health Care,Equity,"448,096.59",0.0,"448,096.59","35,311.00",12.69,United States,NASDAQ,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
AESI,ATLAS ENERGY SOLUTIONS INC CLASS A,Energy,Equity,"447,143.86",0.0,"447,143.86","26,027.00",17.18,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
NOTE,FISCALNOTE HOLDINGS INC CLASS A,Industrials,Equity,"442,686.18",0.0,"442,686.18","122,289.00",3.62,Hong Kong,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
-,SCILEX HOLDING CORP,Health Care,Equity,"439,586.64",0.0,"439,586.64","77,256.00",5.69,United States,NASDAQ,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
EGY,VAALCO ENERGY INC,Energy,Equity,"433,035.12",0.0,"433,035.12","113,064.00",3.83,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
FDMT,4D MOLECULAR THERAPEUTICS INC,Health Care,Equity,"429,658.02",0.0,"429,658.02","24,057.00",17.86,United States,NASDAQ,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
BELFB,BEL FUSE INC CLASS B,Information Technology,Equity,"430,307.12",0.0,"430,307.12","7,325.00",58.74,United States,NASDAQ,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
CLSK,CLEANSPARK INC,Information Technology,Equity,"425,501.64",0.0,"425,501.64","87,372.00",4.87,United States,NASDAQ,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
UTI,UNIVERSAL TECHNICAL INSTITUTE INC,Consumer Discretionary,Equity,"412,363.25",0.0,"412,363.25","58,825.00",7.01,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
TELL,TELLURIAN INC,Energy,Equity,"410,925.36",0.0,"410,925.36","302,151.00",1.36,United States,Nyse Mkt Llc,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
AMRS,AMYRIS INC,Materials,Equity,"384,330.96",0.0,"384,330.96","328,488.00",1.17,United States,NASDAQ,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
ELA,ENVELA CORP,Consumer Discretionary,Equity,"375,296.81",0.0,"375,296.81","53,083.00",7.07,United States,Nyse Mkt Llc,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
BCML,BAYCOM CORP,Financials,Equity,"374,308.18",0.0,"374,308.18","22,454.00",16.67,United States,NASDAQ,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
CVGI,COMMERCIAL VEHICLE GROUP INC,Industrials,Equity,"369,118.88",0.0,"369,118.88","33,016.00",11.18,United States,NASDAQ,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
SANA,SANA BIOTECHNOLOGY INC,Health Care,Equity,"367,920.56",0.0,"367,920.56","60,914.00",6.04,United States,NASDAQ,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
LMB,LIMBACH HOLDINGS INC,Industrials,Equity,"359,624.50",0.0,"359,624.50","13,966.00",25.75,United States,NASDAQ,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
TCBX,THIRD COAST BANCSHARES INC,Financials,Equity,"351,780.00",0.0,"351,780.00","22,000.00",15.99,United States,NASDAQ,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
PTSI,PAM TRANSPORTATION SERVICES INC,Industrials,Equity,"335,097.00",0.0,"335,097.00","12,411.00",27.00,United States,NASDAQ,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
LIND,LINDBLAD EXPEDITIONS HOLDINGS INC,Consumer Discretionary,Equity,"335,324.29",0.0,"335,324.29","29,701.00",11.29,United States,NASDAQ,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
BW,BABCOCK AND WILCOX ENTERPRISES INC,Industrials,Equity,"330,981.28",0.0,"330,981.28","55,909.00",5.92,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
THRN,THORNE HEALTHTECH INC,Consumer Staples,Equity,"329,122.75",0.0,"329,122.75","69,289.00",4.75,United States,NASDAQ,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
RPHM,RENEO PHARMACEUTICALS INC,Health Care,Equity,"327,108.71",0.0,"327,108.71","51,031.00",6.41,United States,NASDAQ,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
FENC,FENNEC PHARMACEUTICALS INC,Health Care,Equity,"326,611.27",0.0,"326,611.27","38,111.00",8.57,Canada,NASDAQ,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
AMPX,AMPRIUS TECHNOLOGIES INC,Industrials,Equity,"319,677.02",0.0,"319,677.02","45,799.00",6.98,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
CTGO,CONTANGO ORE INC,Materials,Equity,"319,336.96",0.0,"319,336.96","12,632.00",25.28,United States,Nyse Mkt Llc,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
BTMD,BIOTE CORP CLASS A,Health Care,Equity,"317,012.02",0.0,"317,012.02","46,826.00",6.77,United States,NASDAQ,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
