Accrual Date,Asset Class,Currency,Exchange,FX Rate,Location,Market Currency,Market Value,Name,Notional Value,Price,Sector,Shares,Ticker,Type,Weight (%),as_of_date,etf_name,etf_ticker
-,Equity,USD,NASDAQ,1.0,United States,USD,"25,620,394,624.58",APPLE INC,"25,620,394,624.58",190.54,Information Technology,"134,462,027.00",AAPL,,7.46,2023-07-13,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"23,171,379,534.18",MICROSOFT CORP,"23,171,379,534.18",342.66,Information Technology,"67,622,073.00",MSFT,,6.75,2023-07-13,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"10,902,764,356.60",AMAZON COM INC,"10,902,764,356.60",134.30,Consumer Discretionary,"81,182,162.00",AMZN,,3.18,2023-07-13,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"10,341,088,908.98",NVIDIA CORP,"10,341,088,908.98",459.77,Information Technology,"22,491,874.00",NVDA,,3.01,2023-07-13,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"6,808,906,267.80",TESLA INC,"6,808,906,267.80",277.90,Consumer Discretionary,"24,501,282.00",TSLA,,1.98,2023-07-13,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"6,728,951,993.92",ALPHABET INC CLASS A,"6,728,951,993.92",124.54,Communication,"54,030,448.00",GOOGL,,1.96,2023-07-13,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"6,305,321,220.63",META PLATFORMS INC CLASS A,"6,305,321,220.63",313.41,Communication,"20,118,443.00",META,,1.84,2023-07-13,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"5,801,641,771.86",ALPHABET INC CLASS C,"5,801,641,771.86",124.83,Communication,"46,476,342.00",GOOG,,1.69,2023-07-13,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"5,571,577,067.28",BERKSHIRE HATHAWAY INC CLASS B,"5,571,577,067.28",343.54,Financials,"16,218,132.00",BRKB,,1.62,2023-07-13,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"3,956,482,558.94",JPMORGAN CHASE & CO,"3,956,482,558.94",148.87,Financials,"26,576,762.00",JPM,,1.15,2023-07-13,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"3,843,837,846.02",EXXON MOBIL CORP,"3,843,837,846.02",104.54,Energy,"36,769,063.00",XOM,,1.12,2023-07-13,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"3,791,231,784.00",UNITEDHEALTH GROUP INC,"3,791,231,784.00",447.75,Health Care,"8,467,296.00",UNH,,1.1,2023-07-13,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"3,753,343,808.18",JOHNSON & JOHNSON,"3,753,343,808.18",158.81,Health Care,"23,634,178.00",JNJ,,1.09,2023-07-13,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"3,580,775,751.68",VISA INC CLASS A,"3,580,775,751.68",243.31,Financials,"14,716,928.00",V,,1.04,2023-07-13,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"3,376,007,393.88",BROADCOM INC,"3,376,007,393.88",890.36,Information Technology,"3,791,733.00",AVGO,,0.98,2023-07-13,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"3,192,807,894.30",PROCTER & GAMBLE,"3,192,807,894.30",148.95,Consumer Staples,"21,435,434.00",PG,,0.93,2023-07-13,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"3,114,858,499.20",ELI LILLY,"3,114,858,499.20",434.70,Health Care,"7,165,536.00",LLY,,0.91,2023-07-13,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"3,048,226,350.72",MASTERCARD INC CLASS A,"3,048,226,350.72",400.56,Financials,"7,609,912.00",MA,,0.89,2023-07-13,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"2,897,370,676.20",HOME DEPOT INC,"2,897,370,676.20",314.60,Consumer Discretionary,"9,209,697.00",HD,,0.84,2023-07-13,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"2,496,345,748.08",CHEVRON CORP,"2,496,345,748.08",157.51,Energy,"15,848,808.00",CVX,,0.73,2023-07-13,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"2,453,519,103.12",MERCK & CO INC,"2,453,519,103.12",106.32,Health Care,"23,076,741.00",MRK,,0.71,2023-07-13,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"2,349,644,007.90",PEPSICO INC,"2,349,644,007.90",187.53,Consumer Staples,"12,529,430.00",PEP,,0.68,2023-07-13,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"2,171,719,077.55",COSTCO WHOLESALE CORP,"2,171,719,077.55",538.45,Consumer Staples,"4,033,279.00",COST,,0.63,2023-07-13,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"2,157,918,353.92",ADOBE INC,"2,157,918,353.92",517.28,Information Technology,"4,171,664.00",ADBE,,0.63,2023-07-13,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"2,143,500,043.17",ABBVIE INC,"2,143,500,043.17",133.59,Health Care,"16,045,363.00",ABBV,,0.62,2023-07-13,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"2,136,203,216.75",COCA-COLA,"2,136,203,216.75",60.35,Consumer Staples,"35,396,905.00",KO,,0.62,2023-07-13,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"2,051,147,903.07",SALESFORCE INC,"2,051,147,903.07",230.37,Information Technology,"8,903,711.00",CRM,,0.6,2023-07-13,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"1,966,103,241.68",WALMART INC,"1,966,103,241.68",154.13,Consumer Staples,"12,756,136.00",WMT,,0.57,2023-07-13,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"1,960,210,612.60",MCDONALDS CORP,"1,960,210,612.60",295.22,Consumer Discretionary,"6,639,830.00",MCD,,0.57,2023-07-13,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"1,919,465,755.93",CISCO SYSTEMS INC,"1,919,465,755.93",51.53,Information Technology,"37,249,481.00",CSCO,,0.56,2023-07-13,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"1,870,802,359.23",BANK OF AMERICA CORP,"1,870,802,359.23",29.67,Financials,"63,053,669.00",BAC,,0.55,2023-07-13,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"1,851,366,232.26",PFIZER INC,"1,851,366,232.26",36.06,Health Care,"51,341,271.00",PFE,,0.54,2023-07-13,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"1,847,457,127.65",THERMO FISHER SCIENTIFIC INC,"1,847,457,127.65",526.65,Health Care,"3,507,941.00",TMO,,0.54,2023-07-13,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"1,820,826,889.84",NETFLIX INC,"1,820,826,889.84",450.38,Communication,"4,042,868.00",NFLX,,0.53,2023-07-13,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"1,810,395,711.39",ACCENTURE PLC CLASS A,"1,810,395,711.39",315.21,Information Technology,"5,743,459.00",ACN,,0.53,2023-07-13,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"1,703,890,538.38",ABBOTT LABORATORIES,"1,703,890,538.38",107.74,Health Care,"15,814,837.00",ABT,,0.5,2023-07-13,iShares Core S&P 500 ETF,ivv
